Time;PE1MAX;PE1MIN;PE2MAX;PE2MIN;PEEQMAX;PEEQMIN
0;0;0;0;0;0;0
0.002;0;0;0;0;0;0
0.004;0;0;0;0;0;0
0.006;0;0;0;0;0;0
0.008;0;0;0;0;0;0
0.01;0;0;0;0;0;0
0.012;0;0;0;0;0;0
0.014;0;0;0;0;0;0
0.016;0;0;0;0;0;0
0.018;0.000268425;0;-0.000119214;0;0.000268987;0
0.0184;0.000452496;0;-0.000199085;0;0.000453603;0
0.0184;0.000452496;0;-0.000199085;0;0.000453603;0
0.02492;0.00356859;0.00145042;-0.00145578;-0.000971655;0.00358951;0.00147808
0.03692;0.00788848;0.00446606;-0.0030875;-0.00298718;0.0079524;0.00455022
0.04892;0.011811;0.0072378;-0.00453974;-0.0048255;0.011919;0.00737078
0.0609199;0.0160746;0.0102971;-0.00609026;-0.00681928;0.0162356;0.0104768
0.0729199;0.020387;0.0135521;-0.00764344;-0.00887553;0.0206051;0.0137693
0.08492;0.024451;0.0166925;-0.00910972;-0.0108002;0.024723;0.0169362
0.0969199;0.0284616;0.0198743;-0.0105593;-0.0126954;0.0287867;0.0201375
0.10892;0.0324873;0.0231621;-0.0120179;-0.0145955;0.0328657;0.0234387
0.12092;0.0364931;0.0265059;-0.0134725;-0.0164724;0.0369247;0.0267909
0.13292;0.0404576;0.0298903;-0.014916;-0.01832;0.0409416;0.0301803
0.14492;0.0444304;0.0333526;-0.0163658;-0.0201598;0.0449671;0.0336451
0.15692;0.0484176;0.0368895;-0.0178229;-0.021992;0.0490072;0.037183
0.16892;0.0524193;0.0405002;-0.0192877;-0.0238179;0.0530623;0.0407941
0.18092;0.0564575;0.0442007;-0.0207673;-0.0256465;0.0571544;0.0444951
0.19292;0.0605319;0.0479867;-0.0222611;-0.0274772;0.0612836;0.0482822
0.20492;0.064666;0.0518776;-0.0237774;-0.0293203;0.0654734;0.0521755
0.21692;0.068868;0.0558794;-0.0253186;-0.0311794;0.0697324;0.0561813
0.22892;0.0731329;0.0599833;-0.0268825;-0.0330514;0.0740552;0.0602912
0.24092;0.0774907;0.0642189;-0.02848;-0.0349503;0.0784724;0.0645351
0.25292;0.0819681;0.0686102;-0.0301202;-0.0368872;0.083011;0.0689376
0.26492;0.0866938;0.0732818;-0.0318486;-0.0389142;0.0878017;0.0736239
0.27692;0.0916583;0.0782331;-0.0336609;-0.0410279;0.0928349;0.0785942
0.28892;0.0968968;0.0834971;-0.0355704;-0.0432401;0.0981461;0.0838821
0.30092;0.102433;0.0891015;-0.037586;-0.0455599;0.103759;0.0895161
0.31292;0.10832;0.0951051;-0.0397279;-0.0480083;0.109727;0.0955562
0.32492;0.114594;0.10155;-0.0420102;-0.050599;0.116088;0.102045
0.33692;0.121338;0.108525;-0.0444637;-0.0533635;0.122922;0.109075
0.34892;0.128625;0.116113;-0.0471167;-0.0563289;0.130306;0.116729
0.36092;0.136508;0.124377;-0.0499898;-0.0595142;0.138292;0.125072
0.37292;0.14502;0.133354;-0.0530976;-0.0629297;0.146913;0.134145
0.38492;0.154189;0.143075;-0.0564514;-0.0665826;0.156195;0.143979
0.39692;0.164036;0.153566;-0.0600616;-0.0704805;0.166162;0.154604
0.40892;0.174582;0.164849;-0.0639355;-0.0746281;0.176832;0.166044
0.42092;0.185962;0.177094;-0.0681229;-0.0790815;0.188344;0.178473
0.43292;0.198215;0.190317;-0.0726354;-0.0838393;0.200738;0.191912
0.44492;0.211218;0.204378;-0.0774244;-0.0888439;0.213892;0.206223
0.45692;0.224907;0.219221;-0.0824623;-0.0940686;0.227742;0.221354
