Time,PE1MAX,PE1MIN,PE2MAX,PE2MIN,PEEQMAX,PEEQMIN
0,0,0,0,0,0,0
0.0005,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.0015,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.0025,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.0035,0,0,0,0,0,0
0.004,0,0,0,0,0,0
0.0045,0,0,0,0,0,0
0.005,0,0,0,0,0,0
0.0055,0,0,0,0,0,0
0.006,0,0,0,0,0,0
0.0065,0,0,0,0,0,0
0.007,0,0,0,0,0,0
0.0075,0,0,0,0,0,0
0.008,0,0,0,0,0,0
0.0085,0,0,0,0,0,0
0.009,0,0,0,0,0,0
0.0095,0,0,0,0,0,0
0.01,0,0,0,0,0,0
0.0105,0,0,0,0,0,0
0.011,0,0,0,0,0,0
0.0115,0,0,0,0,0,0
0.012,0,0,0,0,0,0
0.0125,0,0,0,0,0,0
0.013,0,0,0,0,0,0
0.0135,0,0,0,0,0,0
0.014,0,0,0,0,0,0
0.0145,3.48E-05,0,-2.11E-05,0,3.51E-05,0
0.015,0.000185793,0,-0.000111578,0,0.000187044,0
0.015,0.000185793,0,-0.000111578,0,0.000187044,0
0.0150912,0.000204641,0,-0.0001229,0,0.000206019,0
0.0157589,0.000530652,0.000179998,-0.000317225,-0.000140281,0.00053403,0.000189131
0.0195849,0.00235081,0.00174573,-0.00137729,-0.00136402,0.00236245,0.00183556
0.0245849,0.00427455,0.00339464,-0.00247275,-0.00266128,0.00429239,0.00357252
0.0295849,0.0061111,0.0049638,-0.00350339,-0.00390222,0.00613353,0.00522782
0.0345849,0.00790314,0.00649494,-0.00449962,-0.0051165,0.00792932,0.00684426
0.0395849,0.00965858,0.00799732,-0.00546969,-0.00630908,0.009688,0.00843074
0.0445849,0.0114985,0.00955037,-0.00648131,-0.00754149,0.011531,0.0100706
0.0495849,0.0136885,0.0114344,-0.0076764,-0.0090298,0.013724,0.0120574
0.0545849,0.0157263,0.0131999,-0.00878481,-0.010417,0.0157646,0.0139165
0.0595849,0.0176438,0.0148692,-0.00982798,-0.0117232,0.0176846,0.0156724
0.0645849,0.0195083,0.016498,-0.0108434,-0.0129929,0.0195517,0.017384
0.0695849,0.0213579,0.0181122,-0.0118518,-0.0142466,0.0214039,0.0190786
0.0745849,0.0232964,0.0198107,-0.0129088,-0.0155603,0.023345,0.0208598
0.0795849,0.025343,0.0216207,-0.0140246,-0.0169521,0.0253946,0.022755
0.0845849,0.0273622,0.023416,-0.0151263,-0.0183246,0.0274167,0.0246323
0.0895849,0.0293151,0.0251619,-0.016194,-0.0196525,0.0293725,0.0264556
0.0945849,0.031228,0.0268759,-0.0172425,-0.02095,0.0312885,0.0282436
0.0995849,0.0331591,0.0286107,-0.0183026,-0.0222574,0.0332228,0.0300515
0.104585,0.0351705,0.0304301,-0.0194079,-0.0236215,0.0352375,0.0319453
0.109585,0.0372031,0.0322773,-0.0205263,-0.0249988,0.0372737,0.0338656
0.114585,0.0392216,0.0341204,-0.0216388,-0.026366,0.0392958,0.0357795
0.119585,0.0412135,0.0359452,-0.0227389,-0.027713,0.0412915,0.0376724
0.124585,0.0432182,0.0377881,-0.0238481,-0.0290671,0.0433001,0.0395822
0.129585,0.0452676,0.0396816,-0.0249837,-0.0304517,0.0453536,0.0415426
0.134585,0.047331,0.0415963,-0.0261287,-0.0318446,0.0474213,0.0435228
0.139585,0.0493899,0.0435143,-0.0272731,-0.0332335,0.0494846,0.0455047
0.144585,0.0514433,0.0454332,-0.0284166,-0.0346166,0.0515426,0.0474857
0.149585,0.0535192,0.0473798,-0.0295745,-0.0360136,0.0536232,0.0494937
0.154585,0.0556385,0.0493757,-0.0307583,-0.0374393,0.0557475,0.0515508
0.159585,0.0577711,0.0513919,-0.0319512,-0.0388728,0.0578852,0.0536269
0.164585,0.0598997,0.0534115,-0.0331437,-0.0403024,0.060019,0.055705
0.169585,0.0620289,0.0554369,-0.0343386,-0.0417301,0.0621536,0.0577876
0.174585,0.0641848,0.057495,-0.0355504,-0.0431748,0.0643152,0.0599023
0.179585,0.0663866,0.0596048,-0.0367895,-0.0446494,0.0665229,0.0620686
0.184585,0.0686043,0.0617367,-0.0380392,-0.0461331,0.0687466,0.0642561
0.189585,0.0708218,0.0638748,-0.0392905,-0.0476149,0.0709703,0.0664484
0.194585,0.0730504,0.0660293,-0.0405501,-0.0491024,0.0732052,0.0686564
0.199585,0.0753181,0.0682291,-0.0418334,-0.0506152,0.0754796,0.0709094
0.204585,0.0776252,0.070474,-0.0431407,-0.0521527,0.0777935,0.0732072
0.209585,0.0799473,0.07274,-0.044458,-0.0536986,0.0801227,0.0755253
0.214585,0.0822799,0.0750216,-0.0457831,-0.0552493,0.0824625,0.0778582
0.219585,0.0846427,0.0773398,-0.0471271,-0.056819,0.0848328,0.0802274
0.224585,0.0870534,0.0797119,-0.0484999,-0.0584191,0.0872513,0.0826503
0.229585,0.0894928,0.0821185,-0.0498907,-0.0600365,0.0896986,0.0851074
0.234585,0.0919506,0.0845487,-0.0512936,-0.0616637,0.0921646,0.0875874
0.239585,0.0944413,0.0870181,-0.052717,-0.0633114,0.0946638,0.0901064
0.244585,0.0969835,0.0895453,-0.0541714,-0.0649917,0.0972147,0.0926833
0.249585,0.0995624,0.0921152,-0.0556485,-0.0666943,0.0998028,0.0953027
0.254585,0.10217,0.094719,-0.0571435,-0.0684133,0.10242,0.0979555
0.259585,0.104822,0.0973739,-0.0586657,-0.0701602,0.105081,0.10066
0.264585,0.107532,0.100094,-0.0602231,-0.0719437,0.107802,0.103429
0.269585,0.110285,0.102863,-0.0618067,-0.0737531,0.110565,0.106247
0.274585,0.113078,0.105678,-0.063415,-0.0755865,0.113369,0.109111
0.279585,0.115934,0.108563,-0.0650615,-0.07746,0.116236,0.112047
0.284585,0.118855,0.11152,-0.0667464,-0.0793729,0.119168,0.115054
0.289585,0.121826,0.114534,-0.0684625,-0.0813166,0.122152,0.118118
0.294585,0.124861,0.11762,-0.0702175,-0.0833005,0.125199,0.121254
0.299585,0.127975,0.120792,-0.0720197,-0.0853332,0.128327,0.124478
0.304585,0.131156,0.124038,-0.0738623,-0.0874068,0.131521,0.127777
0.309585,0.134412,0.127369,-0.0757507,-0.0895277,0.134792,0.13116
0.314585,0.137762,0.130802,-0.0776955,-0.0917069,0.138157,0.134647
0.319585,0.141196,0.134327,-0.0796905,-0.0939373,0.141607,0.138227
0.324585,0.144724,0.137957,-0.0817427,-0.0962269,0.145151,0.141913
0.329585,0.148362,0.141707,-0.0838613,-0.098585,0.148808,0.14572
0.334585,0.152103,0.14557,-0.0860417,-0.101006,0.152568,0.149641
0.339585,0.155968,0.149569,-0.0882968,-0.103505,0.156453,0.153701
0.344585,0.159962,0.153707,-0.0906293,-0.106083,0.160467,0.157902
0.349585,0.164089,0.157993,-0.0930423,-0.108744,0.164617,0.162252
0.354585,0.16837,0.162445,-0.095548,-0.111501,0.168922,0.166772
0.359585,0.172803,0.167065,-0.0981456,-0.114352,0.173381,0.171462
0.364585,0.177424,0.171894,-0.100856,-0.117323,0.178031,0.176365
0.369585,0.182322,0.17702,-0.103733,-0.120466,0.182961,0.181569
0.374585,0.187577,0.182528,-0.106822,-0.123831,0.18825,0.187162
0.379585,0.193194,0.188428,-0.110128,-0.127424,0.193905,0.193154
0.384585,0.199213,0.194762,-0.113675,-0.131266,0.199969,0.199588
0.389585,0.205649,0.201549,-0.117473,-0.135368,0.206454,0.206486
0.394585,0.212525,0.208813,-0.121536,-0.139742,0.213386,0.213869
0.399585,0.219866,0.216582,-0.125879,-0.144403,0.22079,0.221771
