Time,PE1MAX,PE1MIN,PE2MAX,PE2MIN,PEEQMAX,PEEQMIN
0,0,0,0,0,0,0
0.0001,0,0,0,0,0,0
0.0002,0,0,0,0,0,0
0.0003,0,0,0,0,0,0
0.0004,0,0,0,0,0,0
0.0005,0,0,0,0,0,0
0.0006,0,0,0,0,0,0
0.0007,0,0,0,0,0,0
0.0008,0,0,0,0,0,0
0.0009,0,0,0,0,0,0
0.001,0,0,0,0,0,0
0.0011,0,0,0,0,0,0
0.0012,0,0,0,0,0,0
0.0013,0,0,0,0,0,0
0.0014,0,0,0,0,0,0
0.0015,0,0,0,0,0,0
0.0016,0,0,0,0,0,0
0.0017,0,0,0,0,0,0
0.0018,0,0,0,0,0,0
0.0019,0,0,0,0,0,0
0.002,0,0,0,0,0,0
0.0021,0,0,0,0,0,0
0.0022,0,0,0,0,0,0
0.0023,0,0,0,0,0,0
0.0024,0,0,0,0,0,0
0.0025,0,0,0,0,0,0
0.0026,0,0,0,0,0,0
0.0027,0,0,0,0,0,0
0.0028,0,0,0,0,0,0
0.0029,0,0,0,0,0,0
0.003,0,0,0,0,0,0
0.0031,0,0,0,0,0,0
0.0032,0,0,0,0,0,0
0.0033,0,0,0,0,0,0
0.0034,0,0,0,0,0,0
0.0035,0,0,0,0,0,0
0.0036,0,0,0,0,0,0
0.0037,0,0,0,0,0,0
0.0038,0,0,0,0,0,0
0.0039,0,0,0,0,0,0
0.004,0,0,0,0,0,0
0.0041,0,0,0,0,0,0
0.0042,0,0,0,0,0,0
0.0043,0,0,0,0,0,0
0.0044,0,0,0,0,0,0
0.0045,0,0,0,0,0,0
0.0046,0,0,0,0,0,0
0.0047,0,0,0,0,0,0
0.0048,0,0,0,0,0,0
0.0049,0,0,0,0,0,0
0.005,0,0,0,0,0,0
0.0051,0,0,0,0,0,0
0.0052,0,0,0,0,0,0
0.0053,0,0,0,0,0,0
0.0054,0,0,0,0,0,0
0.0055,0,0,0,0,0,0
0.0056,0,0,0,0,0,0
0.0057,0,0,0,0,0,0
0.0058,0,0,0,0,0,0
0.0059,0,3.55E-07,0,-3.28E-07,0,3.95E-07
0.006,0,1.29E-05,0,-1.19E-05,0,1.44E-05
0.0061,0,4.59E-05,0,-4.24E-05,0,5.11E-05
0.0061,0,4.59E-05,0,-4.24E-05,0,5.11E-05
0.00619125,3.86E-07,9.33E-05,-3.38E-07,-8.63E-05,4.21E-07,0.0001039
0.00685887,0.000536887,0.000689777,-0.000468404,-0.000638779,0.000584431,0.000768736
0.0106849,0.00383401,0.00406227,-0.00331695,-0.0037731,0.0041609,0.00453299
0.0156849,0.00813681,0.00844244,-0.0069946,-0.00785275,0.00881064,0.00942651
0.0206849,0.013032,0.0134336,-0.0111542,-0.0124917,0.01409,0.0149976
0.0256849,0.0176768,0.0181612,-0.0150892,-0.0168761,0.0190943,0.0202698
0.0306849,0.022606,0.0231858,-0.0192593,-0.0215263,0.0244027,0.0258687
0.0356849,0.0275309,0.0282103,-0.0234236,-0.0261653,0.0297058,0.0314622
0.0406849,0.0324798,0.0332608,-0.0276058,-0.0308217,0.0350342,0.0370818
0.0456849,0.0374715,0.0383605,-0.0318228,-0.035517,0.0404088,0.0427538
0.0506849,0.0424975,0.0434958,-0.0360677,-0.0402389,0.0458205,0.0484631
0.0556849,0.0474904,0.0486011,-0.0402826,-0.0449301,0.0511966,0.0541386
0.0606849,0.0525343,0.0537592,-0.0445393,-0.049666,0.0566283,0.059872
0.0656849,0.0575619,0.058903,-0.0487803,-0.0543863,0.0620427,0.0655897
0.0706849,0.0625795,0.0640359,-0.0530107,-0.0590948,0.0674469,0.0712958
