PaperAngle,PaperStress,VMAngle,VMStress,NguygenAngle,NguyenStress,BoudardAngle,BoudardStress
,,2.629701298,181496597.3,0.840906149,129573974.6,0.732072186,135050780.6
,,2.669800609,181537668.7,0.880981567,129867074.9,0.772144739,135402687.7
,,2.709905707,181577806.7,0.921074346,130040383.7,0.812217293,135753972.4
,,2.750010804,181616388.9,0.961162026,130201868.9,0.85229655,136086277.2
,,2.790110287,181654348.8,1.001255378,130363042.9,0.892382453,136283233.1
,,2.830215556,181690753,1.041343058,130524216.9,0.932469446,136457786.5
,,2.870320826,181726223.7,1.081436467,130685079.8,0.972562167,136632339.8
,,2.91042621,181760138.7,1.121529876,130845942.7,1.012649217,136806582
,,2.950525922,181793431.4,1.161617556,131006805.6,1.052741938,136980202
,,2.990631363,181826413,1.201710965,131167668.5,1.092828988,137154133
,,3.030736805,181858461.1,1.241804317,131328531.4,1.132921767,137328064.1
,,3.070836574,181890198.1,1.281891997,131489705.5,1.173008816,137501684
,,3.110942072,181921623.9,1.321985406,131650568.4,1.213101595,137675615.1
,,3.151047571,181952738.6,1.362073086,131811431.3,1.253188645,137849546.1
,,3.191153127,181983542.1,1.402166495,131972605.3,1.293281424,138023166
,,3.231253011,182013101,1.442259847,132133779.4,1.333368416,138197097.1
,,3.271358624,182041415.4,1.482347527,132294953.4,1.373461195,138371028.2
,,3.311464352,182068796.3,1.522440936,132456438.6,1.413548244,138545270.4
,,3.351570137,182094932.6,1.562528673,132615123.5,1.453640966,138719201.4
,,3.391675922,182120757.8,1.602623343,132750472.3,1.493728016,138893132.5
,,3.431775978,182145960.7,1.642718929,132866841.2,1.533821769,139047772.5
,,3.47188182,182170852.5,1.682814573,132982587.8,1.573916782,139175342.7
,,3.511987662,182195744.2,1.722910217,133098023.3,1.614012025,139299179.1
,,3.552093505,182220013.7,1.763005861,133213769.9,1.654107268,139422704.4
,,3.592193618,182243972,1.803101447,133329827.7,1.694202453,139546540.8
,,3.632299518,182267308,1.843197034,133446196.6,1.734297696,139670377.2
,,3.672405475,182289710.5,1.88329262,133562565.5,1.774392881,139794524.8
,,3.712511432,182311802,1.923388207,133679245.5,1.814488124,139918983.5
,,3.752617446,182333271.1,1.963483793,133795925.6,1.854583309,140043753.4
,,3.792717731,182354429.1,2.00357938,133912916.8,1.894672765,140168523.2
,,3.832823745,182375275.9,2.043674966,134029596.8,1.934767951,140293293.1
,,3.872929817,182395500.5,2.083770495,134146899.2,1.974863079,140418063
