PaperExtension,PaperStress,VMExtension,VMStress,NguyenExtension,NguyenStress,BoudardExtension,BoudardStress
,,0.075635051,336501590.1,0.07574266,315324129.4,0.075727727,317867717.6
,,0.076621154,335562334.1,0.076727546,312785375.7,0.076712805,315433248.9
,,0.077607352,334592690.4,0.077712533,310125071.1,0.077698001,312884826.3
,,0.078593463,333591968.3,0.078697521,307337000.1,0.07868322,310214162.3
,,0.079579666,332560858.6,0.079682509,304412875.2,0.079668362,307415731.9
,,0.080565773,331499361.2,0.080667494,301344408.6,0.080653725,304480556.8
,,0.081551971,330406094.8,0.081652573,298122622.4,0.081639013,301401730.9
,,0.082538193,329280368.8,0.082637645,294737847.5,0.082624424,298168203.9
,,0.083524314,328122873.9,0.083622705,291180415.4,0.083609859,294772379
,,0.084510542,326933610.1,0.084607849,287439966.4,0.084595418,291202515.5
,,0.085496776,325711196,0.085592972,283510285,0.085580902,287450325.9
,,0.086483017,324454941.1,0.086578069,279382392.9,0.086566605,283507522.5
,,0.087469266,323164154.7,0.087563234,275053527.7,0.087552231,279365817.8
,,0.088455527,321838836.8,0.088548358,270519545.5,0.088537972,275021758.7
,,0.089441799,320478296.8,0.089533534,265781137,0.089523825,270473273.4
,,0.090428073,319081153.5,0.090518657,260840374.1,0.090509683,265719671
,,0.091414347,317648097.4,0.091503718,255698638.1,0.091495539,260765095.5
,,0.092400616,316178438,0.09248881,250366288.3,0.092481484,255606093.7
,,0.09338699,314670794,0.093473831,244852303,0.093467406,250257859.5
,,0.094373266,313126546.6,0.094458874,239166350.9,0.094453291,244728680.3
,,0.095359529,311545005.2,0.095443736,233313266.5,0.095439225,239024771.9
,,0.096345774,309926169.9,0.096428616,227323437.5,0.096425093,233160637.4
,,0.097332008,308270731.1,0.097413517,221205842.1,0.097410877,227159067.7
,,0.098318222,306577998.4,0.098398243,214972911.6,0.098396661,221027659.7
