0.0055;0.0389137;0.0055;0.0772872;0.0055;0.147319;0.0055;0.249368;0.0055;0.307572
0.0056;0.0389096;0.0056;0.0772954;0.0056;0.147347;0.0056;0.249419;0.0056;0.307628
0.0057;0.038899;0.0057;0.0773036;0.0057;0.147374;0.0057;0.249469;0.0057;0.307683
0.0058;0.0388788;0.0058;0.0773118;0.0058;0.147401;0.0058;0.24952;0.0058;0.307739
0.0059;0.0388448;0.0059;0.07732;0.0059;0.147428;0.0059;0.24957;0.0059;0.307795
0.006;0.0388196;0.006;0.0773282;0.006;0.147455;0.006;0.249621;0.006;0.30785
0.0061;0.0389695;0.0061;0.0773364;0.0061;0.147483;0.0061;0.249671;0.0061;0.307905
0.0061;0.0389695;0.0062;0.0773446;0.0062;0.14751;0.0062;0.249722;0.0062;0.307961
0.00619125;0.038869;0.0063;0.0773528;0.0063;0.147537;0.0063;0.249772;0.0063;0.308016
0.00685887;0.0381213;0.0064;0.077361;0.0064;0.147564;0.0064;0.249822;0.0064;0.308072
0.0106849;0.035321;0.0065;0.0773692;0.0065;0.147591;0.0065;0.249872;0.0065;0.308127
0.0156849;0.0337308;0.0066;0.0773773;0.0066;0.147618;0.0066;0.249923;0.0066;0.308182
0.0206849;0.0333201;0.0067;0.0773855;0.0067;0.147645;0.0067;0.249973;0.0067;0.308237
0.0256849;0.0334832;0.0068;0.0773937;0.0068;0.147672;0.0068;0.250023;0.0068;0.308292
0.0306849;0.033747;0.0069;0.0774019;0.0069;0.147699;0.0069;0.250073;0.0069;0.308347
0.0356849;0.0342365;0.007;0.0774101;0.007;0.147726;0.007;0.250123;0.007;0.308402
0.0406849;0.0346995;0.0071;0.0774183;0.0071;0.147754;0.0071;0.250173;0.0071;0.308457
0.0456849;0.0351876;0.0072;0.0774265;0.0072;0.147781;0.0072;0.250223;0.0072;0.308512
0.0506849;0.0356974;0.0073;0.0774346;0.0073;0.147808;0.0073;0.250273;0.0073;0.308567
0.0556849;0.0361654;0.0074;0.0774428;0.0074;0.147834;0.0074;0.250323;0.0074;0.308622
0.0606849;0.036674;0.0075;0.077451;0.0075;0.147861;0.0075;0.250372;0.0075;0.308677
0.0656849;0.0371414;0.0076;0.0774592;0.0076;0.147888;0.0076;0.250422;0.0076;0.308731
0.0706849;0.0376242;0.0077;0.0774674;0.0077;0.147915;0.0077;0.250472;0.0077;0.308786
0.0756849;0.0380968;0.0078;0.0774755;0.0078;0.147942;0.0078;0.250522;0.0078;0.308841
0.0806849;0.0385512;0.0079;0.0774837;0.0079;0.147969;0.0079;0.250571;0.0079;0.308895
0.0856849;0.0390221;0.008;0.0774919;0.008;0.147996;0.008;0.250621;0.008;0.30895
0.0906849;0.0394649;0.0081;0.0775001;0.0081;0.148023;0.0081;0.250671;0.0081;0.309004
0.0956849;0.039919;0.0082;0.0775083;0.0082;0.14805;0.0082;0.25072;0.0082;0.309059
0.100685;0.0403596;0.0083;0.0775164;0.0083;0.148077;0.0083;0.25077;0.0083;0.309113
0.105685;0.0407955;0.0084;0.0775246;0.0084;0.148104;0.0084;0.250819;0.0084;0.309168
0.110685;0.041234;0.0085;0.0775328;0.0085;0.14813;0.0085;0.250869;0.0085;0.309222
0.115685;0.0416562;0.0086;0.0775409;0.0086;0.148157;0.0086;0.250918;0.0086;0.309276
0.120685;0.0420834;0.0087;0.0775491;0.0087;0.148184;0.0087;0.250967;0.0087;0.30933
0.125685;0.0424998;0.0088;0.0775573;0.0088;0.148211;0.0088;0.251017;0.0088;0.309384
0.130685;0.0429128;0.0089;0.0775655;0.0089;0.148237;0.0089;0.251066;0.0089;0.309439
0.135685;0.0433235;0.009;0.0775736;0.009;0.148264;0.009;0.251115;0.009;0.309493
0.140685;0.0437253;0.0091;0.0775818;0.0091;0.148291;0.0091;0.251164;0.0091;0.309547
0.145685;0.0441264;0.0092;0.07759;0.0092;0.148318;0.0092;0.251213;0.0092;0.309601
0.150685;0.0445204;0.0093;0.0775981;0.0093;0.148344;0.0093;0.251263;0.0093;0.309655
0.155685;0.0449103;0.0094;0.0776063;0.0094;0.148371;0.0094;0.251312;0.0094;0.309708
0.160685;0.045297;0.0095;0.0776144;0.0095;0.148398;0.0095;0.251361;0.0095;0.309762
0.165685;0.045678;0.0096;0.0776226;0.0096;0.148424;0.0096;0.25141;0.0096;0.309816
0.170685;0.0460553;0.0097;0.0776308;0.0097;0.148451;0.0097;0.251459;0.0097;0.30987
0.175685;0.046426;0.0098;0.0776389;0.0098;0.148478;0.0098;0.251508;0.0098;0.309923
0.180685;0.0467936;0.0099;0.0776471;0.0099;0.148504;0.0099;0.251556;0.0099;0.309977
0.185685;0.0471572;0.01;0.0776553;0.01;0.148531;0.01;0.251605;0.01;0.310031
0.190685;0.0475174;0.0101;0.0776634;0.0101;0.148558;0.0101;0.251654;0.0101;0.310084
0.195685;0.0478735;0.0102;0.0776716;0.0102;0.148584;0.0102;0.251703;0.0102;0.310138
0.200685;0.0482238;0.0103;0.0776797;0.0103;0.148611;0.0103;0.251752;0.0103;0.310191
0.205685;0.0485708;0.0104;0.0776879;0.0104;0.148637;0.0104;0.2518;0.0104;0.310244
0.210685;0.0489127;0.0105;0.0776959;0.0105;0.148664;0.0105;0.251849;0.0105;0.310298
0.215685;0.0492521;0.0106;0.0777022;0.0106;0.14869;0.0106;0.251898;0.0106;0.310351
0.220685;0.0495862;0.0107;0.0777062;0.0107;0.148717;0.0107;0.251946;0.0107;0.310404
0.225685;0.0499169;0.0108;0.0777072;0.0108;0.148743;0.0108;0.251995;0.0108;0.310457
0.230685;0.0502428;0.0109;0.0777048;0.0109;0.14877;0.0109;0.252043;0.0109;0.310511
0.235685;0.0505651;0.011;0.077698;0.011;0.148796;0.011;0.252092;0.011;0.310564
0.240685;0.0508843;0.0111;0.0776865;0.0111;0.148823;0.0111;0.25214;0.0111;0.310617
0.245685;0.0511994;0.0112;0.0776693;0.0112;0.148849;0.0112;0.252188;0.0112;0.31067
0.250685;0.0515115;0.0113;0.0776453;0.0113;0.148876;0.0113;0.252237;0.0113;0.310723
0.255685;0.0518192;0.0114;0.0776129;0.0114;0.148902;0.0114;0.252285;0.0114;0.310776
0.260685;0.052123;0.0115;0.0775692;0.0115;0.148929;0.0115;0.252333;0.0115;0.310829
0.265685;0.052421;0.0116;0.0775088;0.0116;0.148955;0.0116;0.252382;0.0116;0.310881
0.270685;0.0527147;0.0116;0.0775088;0.0117;0.148981;0.0117;0.25243;0.0117;0.310934
0.275685;0.0530036;0.0116912;0.0776278;0.0118;0.149008;0.0118;0.252478;0.0118;0.310987
0.280685;0.0532882;0.0123589;0.0761496;0.0119;0.149034;0.0119;0.252526;0.0119;0.31104
0.285685;0.0535685;0.0161849;0.0733727;0.012;0.14906;0.012;0.252574;0.012;0.311092
0.290685;0.0538437;0.0211849;0.0710197;0.0121;0.149087;0.0121;0.252622;0.0121;0.311145
0.295685;0.0541138;0.0261849;0.0696307;0.0122;0.149113;0.0122;0.25267;0.0122;0.311198
0.300685;0.0543771;0.0311849;0.0689019;0.0123;0.149139;0.0123;0.252718;0.0123;0.31125
0.305685;0.0546327;0.0361849;0.0686622;0.0124;0.149166;0.0124;0.252766;0.0124;0.311303
0.310685;0.054875;0.0411849;0.0692211;0.0125;0.149192;0.0125;0.252814;0.0125;0.311355
0.315685;0.0551148;0.0461849;0.0698636;0.0126;0.149218;0.0126;0.252862;0.0126;0.311407
0.320685;0.0553587;0.0511849;0.0705093;0.0127;0.149241;0.0127;0.25291;0.0127;0.31146
0.325685;0.0556097;0.0561849;0.0711561;0.0128;0.149262;0.0128;0.252957;0.0128;0.311512
