Height01;Thickness01;Height03;Thickness03;Height1;Thickness1;Height3;Thickness3
0.0127626;0.001016;;;;;;
0.0128622;0.001016;;;;;;
0.0129618;0.001016;;;;;;
0.0130615;0.001016;;;;;;
0.0131611;0.001016;;;;;;
0.0132607;0.001016;;;;;;
0.0133603;0.001016;;;;;;
0.0134599;0.001016;;;;;;
0.0135595;0.001016;;;;;;
0.0136591;0.001016;;;;;;
0.0137587;0.001016;;;;;;
0.0138583;0.001016;;;;;;
0.0139579;0.001016;;;;;;
0.0140575;0.001016;;;;;;
0.0141571;0.001016;;;;;;
0.0142567;0.001016;;;;;;
0.0143564;0.001016;;;;;;
0.014456;0.001016;;;;;;
0.0145556;0.001016;;;;;;
0.0146552;0.001016;;;;;;
0.0147548;0.001016;;;;;;
0.0148544;0.001016;;;;;;
0.014954;0.001016;;;;;;
0.014954;0.00101659;;;;;;
0.0150538;0.00101791;;;;;;
0.0151536;0.00102274;;;;;;
0.0152534;0.00103023;;;;;;
0.0153531;0.00104128;;;;;;
0.0154529;0.00105503;;;;;;
0.0155527;0.00107243;;;;;;
0.0156525;0.00109602;;;;;;
0.0157523;0.00111998;;;;;;
0.0158521;0.00114782;;;;;;
0.0159519;0.00117865;;;;;;
0.0160516;0.0012136;;;;;;
0.0161514;0.00125174;;;;;;
0.0162512;0.00129432;;;;;;
0.016351;0.00134036;;;;;;
0.0164508;0.00139127;;;;;;
0.0165506;0.00144602;;;;;;
0.0166504;0.00150621;;;;;;
0.0167501;0.00157078;;;;;;
0.0168499;0.00164161;;;;;;
0.0169497;0.00171754;;;;;;
0.0170495;0.00180092;;;;;;
0.0171493;0.0019046;;;;;;
0.0172491;0.00200348;;;;;;
0.0173489;0.0021132;;;;;;
0.0174486;0.00223238;;;;;;
0.0175484;0.00236676;;;;;;
0.0176482;0.00251528;;;;;;
0.017748;0.00258341;;;;;;
0.017748;0.002683;;;;;;
0.017848;0.002683;;;;;;
0.017948;0.002683;;;;;;
0.018048;0.002683;;;;;;
0.018148;0.002683;;;;;;
0.018248;0.002683;;;;;;
0.018348;0.002683;;;;;;
0.018448;0.002683;;;;;;
0.018548;0.002683;;;;;;
0.018648;0.002683;;;;;;
0.018748;0.002683;;;;;;
0.018848;0.002683;;;;;;
0.018948;0.002683;;;;;;
0.019048;0.002683;;;;;;
0.019148;0.002683;;;;;;
0.019248;0.002683;;;;;;
0.019348;0.002683;;;;;;
0.019448;0.002683;;;;;;
0.019548;0.002683;;;;;;
0.019648;0.002683;;;;;;
0.019748;0.002683;;;;;;
