PaperExtensionPoint,PaperSigmaPoint,PaperExtensionCurve,PaperSigmaCurve,ExperimentalExtensionPoint,ExperimentalSigmaPoint,ExperimentalExtensionCurve,ExperimentalSigmaCurve
,,0.023430609,167.0250651,,,0.001167424,83.9639629
,,0.023850074,167.1256634,,,0.00118041,84.89700325
,,0.024269538,167.2966805,,,0.001193396,85.8300436
,,0.024689002,167.618595,,,0.001206382,86.76308395
,,0.025108467,167.6688941,,,0.001219368,87.69612431
,,0.025527931,167.5381164,,,0.00123236,88.62916466
,,0.025947395,167.6588343,,,0.001245345,89.56220501
,,0.02636686,167.7996719,,,0.001258331,90.49524536
,,0.026786324,168.1316462,,,0.001271323,91.42828572
,,0.027205789,168.0612274,,,0.001284309,92.36132607
,,0.027625253,167.9606292,,,0.001297301,93.29436642
,,0.027968451,167.6933252,,,0.001310287,94.22740677
,,0.028883646,168.1417061,,,0.001323279,95.16044712
,,0.02930311,168.1920052,,,0.001336271,96.09348748
,,0.029722575,168.1618257,,,0.001349257,97.02652783
,,0.030142039,168.2724838,,,0.001362249,97.95956818
,,0.030561503,168.3831419,,,0.001375241,98.89260853
,,0.030980968,168.6346377,,,0.001388233,99.82564889
,,0.031400432,168.4435009,,,0.001401226,100.7586892
,,0.031819896,168.1819454,,,0.001414218,101.6917296
,,0.032239361,168.1718856,,,0.00142721,102.6247699
,,0.032658825,168.3932018,,,0.001440202,103.5578103
,,0.033078289,168.4938001,,,0.001453194,104.4915413
,,0.033497754,168.554159,,,0.001466186,105.4245816
,,0.033917218,168.2724838,,,0.001479185,106.357622
,,0.034336683,168.3932018,,,0.001492177,107.2906623
,,0.034756147,168.2926035,,,0.001505169,108.2237027
,,0.035118412,168.78805,,,0.001518167,109.156743
,,0.036090806,168.262424,,,0.00153116,110.0897834
,,0.036453071,168.2485917,,,0.001544158,111.0228237
,,0.037425466,168.4133214,,,0.00155715,111.9558641
,,0.037806797,168.3976728,,,0.001570149,112.8895951
,,0.038760125,167.8499711,,,0.001583147,113.8226354
,,0.039103323,167.7723667,,,0.001596139,114.7556758
,,0.040018518,167.32686,,,0.001609138,115.6887161
,,0.040399849,167.2787964,,,0.001622136,116.6217565
,,0.04139131,166.6528515,,,0.001635135,117.5547968
,,0.041734508,166.2389614,,,0.001648146,118.4878372
,,0.04261157,164.5805269,,,0.001661176,119.4208775
,,0.042954768,164.1838822,,,0.001674238,120.3546085
,,0.043793697,161.4720399,,,0.001687319,121.2876489
,,0.044117829,160.3134831,,,0.001700419,122.2206892
,,,,,,0.00171357,123.1537296
,,,,,,0.001726753,124.0867699
,,,,,,0.001739973,125.0198103
,,,,,,0.001753245,125.9528506
