PaperExtension,PaperStress,VMExtension,VMStress,NguyenExtension,NguyenStress,BoudardExtension,BoudardStress
,,0.007677947,45384367.31,0.001687452,32732726.88,0.001672781,34150243.78
,,0.0077864,45394381.43,0.001737383,32772161.82,0.00173123,34234638.69
,,0.007894823,45404119.31,0.001786844,32808557.99,0.001789525,34314406.39
,,0.008003215,45413511.87,0.001835861,32844816.04,0.001846732,34359849.81
,,0.008111608,45422697.24,0.001884473,32880935.96,0.001903491,34399561
,,0.008220019,45431468.23,0.001932631,32916917.75,0.001959906,34439134.06
,,0.00832839,45440032.04,0.001980334,32952899.54,0.00201599,34478499.94
,,0.00843674,45448319.59,0.00202761,32988812.27,0.002071708,34517658.63
,,0.008545049,45456538.08,0.002074439,33024725,0.002127046,34556748.26
,,0.008653316,45464618.45,0.002120832,33060568.67,0.00218203,34595768.82
,,0.008761524,45472560.69,0.002166827,33096481.4,0.002236635,34634720.32
,,0.00886969,45480364.8,0.002212374,33132256,0.002290879,34673602.75
,,0.008977805,45488168.91,0.002257482,33168030.61,0.00234478,34712485.19
,,0.00908589,45495834.9,0.002302151,33203874.28,0.002398294,34751160.44
,,0.009193946,45503293.69,0.002346391,33239787.01,0.002451429,34789973.81
,,0.009301983,45510338.11,0.002390183,33275630.67,0.002504177,34828718.12
,,0.009409992,45517175.35,0.002433534,33311612.47,0.002556555,34867531.5
,,0.009517966,45523736.33,0.00247646,33346903.63,0.002608561,34906275.81
,,0.009625903,45530159.18,0.002518835,33376393.51,0.002660195,34945089.18
,,0.009733811,45536443.91,0.002560684,33401187.1,0.002711392,34979068.15
,,0.009841671,45542728.63,0.002602085,33425704.45,0.002762063,35006278.95
,,0.009949502,45548875.24,0.002643046,33450221.79,0.002812342,35032453.8
,,0.010057332,45555021.84,0.002683547,33474877.26,0.002862238,35058559.6
,,0.01016516,45560961.25,0.002723617,33499532.73,0.002911728,35084803.51
,,0.010272888,45566762.54,0.002763237,33524326.33,0.002960843,35111047.43
,,0.010380612,45572425.7,0.002802407,33549258.05,0.003009561,35137360.41
,,0.010488335,45577881.67,0.002841165,33574189.77,0.003057893,35163811.52
,,0.010595959,45583268.58,0.002879483,33599190.56,0.003105847,35190331.69
,,0.010703486,45588586.43,0.002917418,33624260.41,0.003153434,35216851.86
,,0.010811113,45593766.15,0.002954911,33649399.32,0.003200661,35243441.09
,,0.010918644,45598807.74,0.002991973,33674607.29,0.003247519,35270030.32
,,0.011026077,45603780.28,0.003028583,33699953.39,0.003293986,35296757.68
,,0.011133611,45608614.68,0.003064761,33725368.55,0.003340065,35323623.17
,,0.011241046,45613241.9,0.003100507,33750990.91,0.003385754,35350557.72
,,0.01134848,45617730.99,0.003135811,33776544.19,0.003431061,35377630.39
,,0.011455914,45622151.02,0.003170624,33800509.04,0.003475967,35404081.5
,,0.01156325,45626432.92,0.003204958,33822401.99,0.003520443,35428046.34
,,0.011670584,45630714.82,0.003238821,33842913.68,0.003564492,35449801.16
,,0.011777819,45634927.66,0.003272242,33863356.31,0.003608142,35471072.55
,,0.011885053,45639140.5,0.00330524,33883937.07,0.003651411,35492482.06
,,0.011992286,45643146.15,0.003337824,33904586.89,0.003694297,35514029.7
,,0.012099418,45647082.74,0.003369995,33925374.84,0.003736819,35535577.34
,,0.012206648,45650881.2,0.003401733,33946231.84,0.00377899,35557263.1
,,0.012313681,45654610.6,0.003433049,33967157.92,0.003820769,35579086.99
,,0.012420714,45658201.87,0.003463931,33988291.18,0.003862166,35600979.95
,,0.012527749,45661724.08,0.003494381,34009493.5,0.00390318,35623080.09
,,0.012634784,45665246.29,0.003524407,34030833.95,0.003943821,35645249.29
,,0.012741721,45668630.38,0.003554,34052312.52,0.003984079,35667556.62
,,0.012848659,45671876.34,0.00358317,34073860.16,0.004023963,35689933.01
,,0.012955597,45675053.23,0.003611897,34095545.93,0.004063465,35712447.53
,,0.013062436,45678092,0.003640201,34117300.75,0.004102574,35735100.18
,,0.013169275,45681130.77,0.003668053,34139262.77,0.004141302,35757821.89
,,0.013276113,45684031.41,0.003695474,34160879.47,0.004179621,35779852.97
,,0.013382853,45686932.06,0.003722444,34181667.41,0.00421755,35800848.1
,,0.013489591,45689763.64,0.003748991,34201557.54,0.004255106,35820945.42
,,0.01359623,45692457.09,0.003775104,34220757.04,0.004292285,35840628.36
,,0.013702868,45695150.55,0.003800793,34239956.54,0.00432909,35860449.42
,,0.013809408,45697705.88,0.003826059,34259363.23,0.00436552,35880339.55
,,0.013915946,45700192.14,0.003850911,34278769.91,0.004401585,35900367.8
,,0.014022484,45702609.35,0.003875339,34298383.79,0.004437277,35920534.18
,,0.014128924,45704957.49,0.003899343,34318135.79,0.004472585,35940838.68
,,0.014235363,45707236.56,0.003922923,34337956.85,0.004507518,35961350.38
,,0.014341804,45709446.58,0.00394607,34357985.11,0.004542076,35981931.14
,,0.014448145,45711587.53,0.003968794,34378082.42,0.00457626,36002650.02
,,0.014554389,45713590.35,0.003991093,34398317.87,0.004610071,36023507.03
,,0.014660633,45715593.18,0.004012978,34418760.5,0.004643505,36044571.22
,,0.014766877,45717457.88,0.004034448,34439272.19,0.004676564,36065704.48
,,0.014873023,45719322.58,0.004055503,34459922.01,0.004709248,36087044.93
,,0.01497917,45721049.15,0.004076153,34480709.96,0.00474156,36108316.32
,,0.015085218,45722706.66,0.004096371,34501497.9,0.004773508,36129104.27
,,0.015191267,45724295.11,0.004116177,34521940.53,0.004805065,36149408.77
,,0.015297216,45725814.5,0.004135542,34541968.79,0.00483627,36169367.96
,,0.015403068,45727333.88,0.004154476,34561720.79,0.004867091,36188981.84
,,0.01550892,45728715.14,0.004172997,34581058.41,0.004897536,36208664.78
,,0.015614772,45730027.33,0.004191093,34600465.1,0.004927615,36228554.9
,,0.015720428,45731201.4,0.004208775,34619940.85,0.00495733,36248583.16
,,0.015826084,45732375.47,0.004226042,34639554.72,0.004986678,36268680.47
,,0.015931642,45733480.48,0.004242895,34659306.72,0.005015661,36288984.98
,,0.016037202,45734447.36,0.004259333,34679196.85,0.005044269,36309427.61
,,0.016142566,45735345.18,0.004275374,34699225.11,0.005072517,36330008.37
,,0.016247931,45736173.94,0.004290991,34719391.48,0.005100399,36350727.25
,,0.016353199,45736933.63,0.004306202,34739626.93,0.005127912,36371515.19
,,0.016458273,45737555.2,0.004320999,34760000.49,0.00515506,36392510.33
,,0.01656335,45738038.64,0.004335392,34780512.19,0.005181842,36413643.59
,,0.016668233,45738453.01,0.00434938,34801162.01,0.005208261,36434845.91
,,0.016772924,45738729.27,0.004362964,34821949.95,0.005234318,36456048.24
,,0.01687752,45738936.45,0.004376135,34842876.03,0.005260004,36477043.37
,,0.016981925,45738936.45,0.004388894,34863802.1,0.005285329,36497831.32
,,0.017085944,45738729.27,0.004401239,34884520.98,0.005310301,36518481.14
,,0.017189774,45738522.08,0.004413171,34905032.67,0.005334895,36538923.77
,,0.017293122,45737900.51,0.004424681,34925406.24,0.005359132,36559297.33
,,0.017396002,45737071.75,0.004435787,34945572.62,0.005383012,36579809.03
,,0.017498271,45735897.68,0.004446488,34965739,0.005406515,36600527.91
,,0.017600247,45734378.3,0.004456775,34986043.51,0.005429672,36621315.86
,,0.017701833,45732237.35,0.004466666,35006417.07,0.005452462,36642241.93
,,0.017803029,45729474.83,0.004476144,35026928.77,0.005474906,36663375.19
,,0.017903932,45726090.75,0.004485226,35047578.59,0.005496984,36684577.51
,,0.018004342,45722085.1,0.004493894,35068366.53,0.005518705,36705917.96
,,0.01810436,45717319.75,0.004502167,35089292.6,0.00554007,36727465.6
,,0.018203982,45711863.78,0.004510044,35110287.74,0.005561076,36749151.36
,,0.018303014,45705648.12,0.004517524,35131490.06,0.005581725,36770906.19
,,0.018401552,45698603.7,0.004524608,35152692.39,0.005602017,36792799.14
,,0.018499598,45690730.52,0.004531298,35174101.9,0.005621947,36814692.1
,,0.018596953,45681959.53,0.004537593,35195649.54,0.005641533,36836446.92
,,0.018693717,45672359.78,0.004543474,35217266.24,0.005660758,36858201.75
,,0.018789693,45661862.21,0.004548963,35238882.94,0.005679629,36879818.45
,,0.018884979,45650466.82,0.00455404,35260430.58,0.005698147,36901435.15
,,0.018979378,45638173.62,0.004558714,35281909.15,0.005716309,36922982.79
,,0.019072891,45624913.54,0.004562984,35303318.66,0.005734123,36944599.49
,,0.019165517,45610755.63,0.004566852,35324728.18,0.005751581,36966354.32
,,0.019257159,45595630.85,0.004570334,35346068.62,0.005768681,36988247.27
,,0.019347814,45579539.18,0.004573412,35367478.14,0.005785434,37010278.35
,,0.019437193,45561928.13,0.004576104,35388956.71,0.005801839,37032447.55
,,0.019525488,45544662.4,0.004578391,35410642.48,0.005817888,37054685.82
,,0.019612502,45525946.34,0.004580282,35432397.3,0.005833599,37077131.28
,,0.019698138,45506332.46,0.004581788,35454221.19,0.005848953,37099714.86
,,0.019782397,45485820.77,0.004582908,35476252.27,0.005863959,37122367.5
,,0.019865178,45464549.38,0.004583633,35498352.41,0.005878606,37145158.27
,,0.019946484,45442449.24,0.004583972,35520590.68,0.005892907,37168087.17
,,0.020026116,45419658.47,0.004583916,35542967.07,0.005906866,37191016.07
,,0.020104075,45396108.01,0.004583485,35565412.53,0.005920471,37213944.97
,,0.02018036,45372005.04,0.004582649,35587996.11,0.005933733,37236873.86
,,0.020254776,45347211.44,0.004581429,35610648.76,0.005946651,37259802.76
,,0.020327321,45322003.47,0.004579816,35633370.47,0.005959215,37282731.66
,,0.020397996,45296242.99,0.004577809,35656092.17,0.005971444,37305660.55
,,0.020466605,45270137.2,0.00457541,35678744.82,0.005983327,37328589.45
,,0.020533146,45243478.91,0.004572616,35701466.53,0.005994863,37351656.47
,,0.020597621,45216751.55,0.004569439,35724188.23,0.006006061,37374792.56
,,0.02065993,45189886.06,0.004565868,35746909.94,0.006016911,37398135.83
,,0.020719976,45162951.51,0.004561921,35769631.65,0.006027413,37421548.17
,,0.020777758,45136086.03,0.004557579,35792422.42,0.006037578,37445029.57
,,0.020833276,45109358.67,0.004552861,35815282.26,0.006047396,37468718.16
,,0.02088653,45082907.56,0.004547748,35838349.28,0.006056877,37492475.81
,,0.020937422,45056732.71,0.00454226,35861485.36,0.00606602,37516371.59
,,0.02098605,45031041.29,0.004536396,35884690.51,0.006074814,37540405.49
,,0.021032414,45006040.51,0.004530147,35908102.85,0.006083262,37564508.46
,,0.021076613,44981523.16,0.004523511,35931515.19,0.006091365,37588749.55
,,0.021087149,44958041.76,0.004516501,35955134.71,0.006099135,37612921.58
,,0.021097878,44952309.54,0.004509106,35978823.3,0.006106572,37637231.74
,,0.021113923,44946577.32,0.004501326,36002650.02,0.006113664,37661472.83
,,0.021137253,44938151.64,0.004493161,36026545.8,0.006120421,37685782.99
,,0.021171016,44925789.37,0.004484623,36050510.64,0.006126834,37710162.21
,,0.021209505,44908040.19,0.0044757,36074475.48,0.006132909,37734541.43
,,0.021246321,44888288.19,0.004466384,36098440.32,0.00613866,37758989.71
,,0.021281759,44869295.88,0.004456703,36122543.29,0.006144064,37783507.05
,,0.021316015,44851201.39,0.004446639,36146577.19,0.006149139,37808162.52
,,0.021348992,44834142.85,0.004436199,36170680.16,0.006153876,37832887.06
,,0.021380984,44817913.05,0.004425385,36194783.12,0.006158286,37857749.72
,,0.021411992,44802512.02,0.004414197,36218955.15,0.006162358,37882750.5
,,0.021442114,44787939.74,0.004402632,36243196.25,0.006166084,37907820.35
,,0.021471448,44773989.02,0.004390693,36267575.47,0.006169491,37933028.32
,,0.021500093,44760659.87,0.004378369,36292023.75,0.006172551,37958374.42
,,0.02152795,44747952.29,0.004365688,36316610.15,0.006175285,37983789.58
,,0.021555316,44735728.15,0.004352622,36341265.62,0.006177672,38009273.81
,,0.021581992,44723987.45,0.004339181,36366059.22,0.006179736,38034896.16
,,0.021608176,44712592.07,0.004325373,36390990.94,0.006181466,38060518.51
,,0.021633867,44701611.06,0.004311201,36415922.67,0.006182869,38086209.93
,,0.021659165,44690837.24,0.004296643,36441061.58,0.006183937,38111901.34
,,0.021684069,44680408.74,0.004281721,36466200.49,0.006184669,38137661.82
,,0.021708481,44670187.42,0.004266414,36491477.52,0.006185076,38163491.36
,,0.021732598,44660173.29,0.004250743,36516754.56,0.006185158,38189320.9
,,0.021756321,44650297.29,0.004234697,36542100.66,0.006184913,38215288.57
,,0.021779748,44640559.42,0.004218278,36567515.82,0.006184331,38241325.3
,,0.021802782,44631028.73,0.004201493,36593000.05,0.006183431,38267431.09
,,0.021825521,44621498.05,0.004184344,36618484.28,0.006182196,38293675.01
,,0.021847964,44612105.49,0.004166821,36643968.5,0.006180642,38320057.05
,,0.02187021,44602781.99,0.004148933,36669590.85,0.006178751,38346508.16
,,0.021892063,44593527.55,0.00413069,36695213.2,0.006176542,38373028.33
,,0.02191362,44584342.18,0.004112073,36720973.68,0.006174007,38399755.69
,,0.02193498,44575156.81,0.004093089,36746803.22,0.006171134,38426483.05
,,0.021956045,44566040.5,0.00407374,36772701.83,0.006167935,38453348.53
,,0.021976914,44556993.26,0.004054034,36798669.49,0.006164411,38480283.08
,,0.021997487,44547946.01,0.004033963,36824775.28,0.006160571,38507286.69
,,0.022017863,44538898.77,0.004013526,36851019.2,0.006156405,38534359.36
,,0.022037943,44529920.58,0.003992725,36877263.12,0.006151912,38561432.04
,,0.022057827,44520735.21,0.003971566,36903714.23,0.006147094,38588573.77
,,0.022077514,44511826.09,0.003950033,36930165.34,0.006141962,38615784.57
,,0.022097004,44502847.91,0.003928136,36956754.57,0.006136502,38643064.43
