9X;9Y;8X;8Y;7X;7Y;6X;6Y;5X;5Y;4X;4Y;3X;3Y;2X;2Y
-0.57778767;0.566383491;-0.939283768;0.383699089;-1.315096544;0.296433209;-1.390259099;0.275105898;-1.612167595;0.244060637;-1.58711341;0.230625083;-1.569217564;0.217124308;-1.569217564;0.152685826
-0.538416807;0.566513933;-0.899912906;0.395569336;-1.275725682;0.297476747;-1.350888237;0.277845185;-1.572796733;0.246995588;-1.547742548;0.232842602;-1.529846702;0.218885279;-1.529846702;0.152685826
-0.499045945;0.555752446;-0.860542044;0.407439582;-1.236354819;0.299563824;-1.311517375;0.278823502;-1.533425871;0.249865318;-1.508371686;0.234799236;-1.490475839;0.22071147;-1.490475839;0.152685826
-0.459675083;0.541860344;-0.821171181;0.418070628;-1.196983957;0.303020544;-1.272146512;0.278236512;-1.494055009;0.252213279;-1.469000824;0.236494985;-1.451104977;0.22182023;-1.451104977;0.153338037
-0.420304221;0.527837799;-0.781800319;0.427266808;-1.157613095;0.30680337;-1.23277565;0.278236512;-1.454684146;0.254365576;-1.429629961;0.23792985;-1.411734115;0.222928989;-1.411734115;0.153859806
-0.382722943;0.511904276;-0.742429457;0.436528209;-1.118242233;0.311499292;-1.193404788;0.279540935;-1.415313284;0.256322211;-1.390259099;0.239429936;-1.372363253;0.223711643;-1.372363253;0.154120691
-0.34693125;0.496622964;-0.703058595;0.443180765;-1.078871371;0.316782204;-1.154033926;0.280910579;-1.375942422;0.257887518;-1.350888237;0.239495157;-1.33299239;0.223711643;-1.33299239;0.154185912
-0.309349973;0.480552476;-0.663687733;0.449311552;-1.039500508;0.322326;-1.114663063;0.282867213;-1.33657156;0.259257162;-1.311517375;0.239495157;-1.293621528;0.223646421;-1.293621528;0.154446796
-0.271768695;0.464840704;-0.62431687;0.45381181;-1.000129646;0.327869797;-1.075292201;0.285215174;-1.297200697;0.259257162;-1.272146512;0.238712504;-1.254250666;0.221950672;-1.254250666;0.153925027
-0.235977002;0.449774622;-0.584946008;0.454007473;-0.960758784;0.333478814;-1.035921339;0.287824019;-1.257829835;0.258539729;-1.23277565;0.236951533;-1.214879804;0.219863596;-1.214879804;0.153011931
-0.200185309;0.434852026;-0.545575146;0.453420483;-0.921387922;0.339479159;-0.996550477;0.29075897;-1.218458973;0.257235306;-1.193404788;0.235190563;-1.175508941;0.217776519;-1.175508941;0.151446624
-0.164393616;0.418781538;-0.506204284;0.450289869;-0.882017059;0.346718705;-0.957179615;0.293889585;-1.179088111;0.25743097;-1.154033926;0.234929678;-1.136138079;0.21725475;-1.136138079;0.149750874
-0.128601923;0.402998023;-0.466833421;0.443376428;-0.842646197;0.35389303;-0.917808752;0.297281084;-1.139717249;0.25743097;-1.114663063;0.234342688;-1.096767217;0.217189529;-1.096767217;0.148250788
-0.091020646;0.387416694;-0.427462559;0.436267325;-0.803275335;0.358784615;-0.87843789;0.301259573;-1.100346386;0.257235306;-1.075292201;0.234212245;-1.057396355;0.217189529;-1.057396355;0.148381231
-0.051649783;0.373198486;-0.388091697;0.429419105;-0.763904473;0.36250222;-0.839067028;0.305238062;-1.060975524;0.258539729;-1.035921339;0.234864457;-1.018025493;0.21725475;-1.018025493;0.148185567
-0.012278921;0.359697711;-0.348720835;0.422636107;-0.724533611;0.365828498;-0.799696166;0.308238235;-1.021604662;0.259322383;-0.996550477;0.235190563;-0.97865463;0.217059087;-0.97865463;0.148381231
0.027091941;0.346327378;-0.309349973;0.415592224;-0.685162748;0.368176459;-0.760325303;0.30856434;-0.9822338;0.261083353;-0.957179615;0.236364543;-0.939283768;0.217515635;-0.939283768;0.148381231
0.050356541;0.338859558;-0.26997911;0.407700467;-0.645791886;0.370393977;-0.720954441;0.309803542;-0.942862937;0.262844324;-0.917808752;0.237799408;-0.899912906;0.218493952;-0.899912906;0.148968221
0.116571173;0.317336583;-0.230608248;0.399873931;-0.606421024;0.371372294;-0.681583579;0.309803542;-0.903492075;0.264800958;-0.87843789;0.239560379;-0.860542044;0.219472269;-0.860542044;0.149750874
0.149295007;0.306523851;-0.191237386;0.391395183;-0.567050162;0.370589641;-0.642212717;0.309803542;-0.864121213;0.267279361;-0.839067028;0.241647455;-0.821171181;0.221363682;-0.821171181;0.149816096
0.173837882;0.298324622;-0.151866524;0.381090244;-0.527679299;0.369350439;-0.602841855;0.309477436;-0.824750351;0.269757765;-0.799696166;0.24366931;-0.781800319;0.223059431;-0.781800319;0.150272644
;;-0.112495661;0.370589641;-0.488308437;0.366480709;-0.563470992;0.307846908;-0.785379489;0.271127408;-0.760325303;0.243930195;-0.742429457;0.222211556;-0.742429457;0.151250961
;;-0.073124799;0.360436884;-0.448937575;0.361784787;-0.52410013;0.305955495;-0.746008626;0.270344755;-0.720954441;0.242821435;-0.703058595;0.220450586;-0.703058595;0.151511845
;;-0.033753937;0.350371089;-0.409566713;0.357284529;-0.484729268;0.303803197;-0.706637764;0.269888207;-0.681583579;0.241777897;-0.663687733;0.218559173;-0.663687733;0.149946538
;;0.005616925;0.340196591;-0.370195851;0.354740905;-0.445358406;0.300868246;-0.667266902;0.268453342;-0.642212717;0.239560379;-0.62431687;0.216732981;-0.62431687;0.148185567
;;0.044987788;0.330543863;-0.330824988;0.352523386;-0.405987543;0.297998516;-0.62789604;0.267018477;-0.602841855;0.237408081;-0.584946008;0.214841568;-0.584946008;0.145837606
;;0.08435865;0.321282462;-0.291454126;0.350566752;-0.366616681;0.29819418;-0.588525177;0.265322727;-0.563470992;0.235190563;-0.545575146;0.212819713;-0.545575146;0.143228761
;;0.123729512;0.311042744;-0.252083264;0.348218791;-0.327245819;0.298389843;-0.549154315;0.263692199;-0.52410013;0.232973044;-0.506204284;0.210602194;-0.506204284;0.140685137
;;0.163100374;0.299107276;-0.212712402;0.346131715;-0.287874957;0.299629045;-0.509783453;0.261866007;-0.484729268;0.230885968;-0.466833421;0.208449897;-0.466833421;0.139054608
;;0.202471236;0.286910923;-0.173341539;0.342935879;-0.248504095;0.300803025;-0.470412591;0.2603007;-0.445358406;0.229581545;-0.427462559;0.207275916;-0.427462559;0.137489301
;;0.23468376;0.278031531;-0.133970677;0.339022611;-0.209133232;0.302303111;-0.431041728;0.258800614;-0.405987543;0.229190218;-0.388091697;0.206036715;-0.388091697;0.136706647
;;;;-0.094599815;0.334783237;-0.16976237;0.302629217;-0.391670866;0.257365749;-0.366616681;0.228929333;-0.348720835;0.206493263;-0.348720835;0.136902311
;;;;-0.055228953;0.328782893;-0.130391508;0.301259573;-0.352300004;0.258800614;-0.327245819;0.231538179;-0.309349973;0.209036887;-0.309349973;0.137554522
;;;;-0.01585809;0.322391221;-0.091020646;0.300281256;-0.312929142;0.260496363;-0.287874957;0.234147024;-0.26997911;0.211710954;-0.26997911;0.13918505
;;;;0.023512772;0.315738665;-0.051649783;0.296759315;-0.27355828;0.262648661;-0.248504095;0.23675587;-0.230608248;0.21497201;-0.230608248;0.141141685
;;;;0.062883634;0.30856434;-0.012278921;0.292780826;-0.234187417;0.265061843;-0.209133232;0.239364715;-0.191237386;0.218167846;-0.191237386;0.143033097
;;;;0.102254496;0.301324794;0.027091941;0.288606673;-0.194816555;0.267540246;-0.16976237;0.241777897;-0.151866524;0.221168018;-0.151866524;0.145446279
;;;;0.141625358;0.293433037;0.066462803;0.283975972;-0.155445693;0.268844669;-0.130391508;0.242951878;-0.112495661;0.223059431;-0.112495661;0.147533356
;;;;0.180996221;0.284823847;0.105833665;0.279171348;-0.116074831;0.26890989;-0.091020646;0.243995416;-0.073124799;0.224755181;-0.073124799;0.149229105
;;;;0.220367083;0.276214657;0.145204528;0.273431889;-0.076703968;0.269105553;-0.051649783;0.243930195;-0.033753937;0.224168191;-0.033753937;0.150794413
;;;;0.259737945;0.268062015;0.18457539;0.266953256;-0.037333106;0.26662715;-0.012278921;0.241973561;0.005616925;0.221885451;0.005616925;0.151577066
;;;;0.299108807;0.259583267;0.223946252;0.260278959;0.002037756;0.263692199;0.027091941;0.240147369;0.044987788;0.219602711;0.044987788;0.151055297
;;;;0.33847967;0.2522785;0.263317114;0.253865548;0.041408618;0.260822469;0.066462803;0.237668966;0.08435865;0.217450414;0.08435865;0.15007698
;;;;0.377850532;0.246930367;0.302687977;0.247147771;0.08077948;0.257887518;0.105833665;0.235190563;0.123729512;0.215232895;0.123729512;0.149229105
;;;;0.417221394;0.24138657;0.342058839;0.241603974;0.120150343;0.254887346;0.145204528;0.232320833;0.163100374;0.212819713;0.163100374;0.148055125
;;;;0.456592256;0.236821091;0.381429701;0.237995071;0.159521205;0.250778414;0.18457539;0.22873367;0.202471236;0.210210867;0.202471236;0.146815923
;;;;0.496758489;0.232480262;0.420800563;0.234212245;0.198892067;0.246343377;0.223946252;0.225081286;0.241842099;0.207667243;0.241842099;0.145381058
;;;;0.538465754;0.228374954;0.460171426;0.230592472;0.238262929;0.241843118;0.263317114;0.221298461;0.281212961;0.204732292;0.281212961;0.143880972
;;;;0.577090956;0.225624796;0.499542288;0.227103142;0.277633792;0.237277639;0.302687977;0.217711298;0.320583823;0.20173212;0.320583823;0.142120002
;;;;0.617058346;0.222276778;0.53891315;0.223450758;0.317004654;0.232516496;0.342058839;0.214254578;0.359954685;0.199188495;0.359954685;0.140163367
