290000000.0,0.0
300727808.9322285,0.01
305034632.8461384,0.02
307794807.60362786,0.03
309835467.3606898,0.04
311457512.95992255,0.05
312805023.1430695,0.06
313958347.62813216,0.07
314966941.3591487,0.08
315863435.4241381,0.09
316670505.43968797,0.1
317404555.04493123,0.11
318077837.9537971,0.12
318699751.469945,0.13
319277661.871364,0.14
319817451.41315484,0.15
320323892.5889438,0.16
320800911.27504593,0.17
321251776.1577018,0.18
321679237.92883915,0.19
322085633.4416895,0.2
322472964.9117921,0.21
322842961.01534194,0.22
323197124.63672274,0.23
323536770.6220457,0.24
323863055.94990015,0.25
324177004.07769424,0.26
324479524.7636965,0.27
324771430.3382769,0.28
325053449.1617953,0.29
325326236.83378285,0.3
325590385.59006006,0.31
325846432.228565,0.32
326094864.8321325,0.33
326336128.5010604,0.34
326570630.2656061,0.35000000000000003
326798743.31537956,0.36
327020810.65661925,0.37
327237148.28784406,0.38
327448047.96809274,0.39
327653779.638953,0.4
327854593.5511067,0.41000000000000003
328050722.13765395,0.42
328242381.66958296,0.43
328429773.7231209,0.44
328613086.4840654,0.45
328792495.91037565,0.46
328968166.7711265,0.47000000000000003
329140253.5772858,0.48
329308901.4175681,0.49
329474246.7107552,0.5
329636417.8843149,0.51
329795535.98782027,0.52
329951715.24855256,0.53
330105063.5757091,0.54
330255683.01882285,0.55
330403670.18529785,0.56
330549116.6213635,0.5700000000000001
330692109.1602286,0.58
330832730.2407717,0.59
330971058.1997097,0.6
331107167.53985435,0.61
331241129.1767679,0.62
331373010.6658735,0.63
331502876.41185194,0.64
331630787.8619583,0.65
331756803.6847185,0.66
331880979.93531466,0.67
332003370.20883214,0.68
332124025.7824221,0.6900000000000001
332242995.74733055,0.7000000000000001
332360327.1316464,0.71
332476065.0145438,0.72
332590252.6327155,0.73
332702931.4796299,0.74
332814141.3981848,0.75
332923920.6672797,0.76
333032306.08277833,0.77
333139333.0332931,0.78
333245035.5711846,0.79
333349446.47913307,0.8
333452597.3326113,0.81
333554518.5585567,0.8200000000000001
333655239.4905172,0.8300000000000001
333754788.42052394,0.84
333853192.64791894,0.85
333950478.5253518,0.86
334046671.5021397,0.87
334141796.16516966,0.88
334235876.27750945,0.89
334328934.814879,0.9
334420994.00012255,0.91
334512075.3358136,0.92
334602199.6351106,0.93
334691387.0509763,0.9400000000000001
334779657.10386354,0.9500000000000001
334867028.70796293,0.96
334953520.1961015,0.97
335039149.3433746,0.98
335123933.3895875,0.99
335207889.06057847,1.0
