Time,PE11,SIGMA1,PE1
0.380685,-0.0263482,235816000.00,0.323088
0.385685,-0.0268934,236169000.00,0.328366
0.390685,-0.0274463,236519000.00,0.33369
0.395685,-0.0280071,236867000.00,0.339061
0.400685,-0.0285762,237213000.00,0.344481
0.405685,-0.0291538,237556000.00,0.349953
0.410685,-0.0297402,237898000.00,0.355478
0.415685,-0.0303358,238239000.00,0.361059
0.420685,-0.0309408,238577000.00,0.3667
0.425685,-0.0315558,238915000.00,0.372401
0.430685,-0.0321809,239252000.00,0.378166
0.435685,-0.0328167,239587000.00,0.383997
0.440685,-0.0334634,239921000.00,0.389898
0.445685,-0.0341216,240254000.00,0.395871
0.450685,-0.0347919,240584000.00,0.40192
0.455685,-0.0354747,240914000.00,0.408049
0.460685,-0.0361707,241244000.00,0.414263
0.465685,-0.0368805,241572000.00,0.420567
0.470685,-0.0376048,241900000.00,0.426964
0.475685,-0.0383443,242227000.00,0.43346
0.480685,-0.0390997,242554000.00,0.44006
0.485685,-0.0398721,242879000.00,0.446771
0.490685,-0.0406623,243204000.00,0.453599
0.495685,-0.0414714,243528000.00,0.460552
0.500685,-0.0423005,243852000.00,0.467638
0.505685,-0.0431509,244175000.00,0.474864
0.510685,-0.0440237,244498000.00,0.48224
0.515685,-0.0449206,244819000.00,0.489777
0.520685,-0.0458432,245139000.00,0.497486
0.525685,-0.0467933,245458000.00,0.50538
0.530685,-0.047773,245775000.00,0.513473
0.535685,-0.0487844,246090000.00,0.521782
0.540685,-0.0498303,246403000.00,0.530323
0.545685,-0.0509132,246714000.00,0.539118
0.550685,-0.0520364,247021000.00,0.548187
0.555685,-0.0532035,247325000.00,0.557557
0.560685,-0.0544184,247623000.00,0.567254
0.565685,-0.0556856,247915000.00,0.577313
0.570685,-0.0570105,248198000.00,0.587769
0.575685,-0.0583989,248472000.00,0.598668
0.580685,-0.0598578,248732000.00,0.610057
0.585685,-0.061395,248978000.00,0.621996
0.590685,-0.0630195,249207000.00,0.63455
0.595685,-0.0647418,249413000.00,0.647795
0.600685,-0.0665738,249591000.00,0.661822
0.605685,-0.0685295,249734000.00,0.676734
0.610685,-0.0706246,249836000.00,0.692654
0.615685,-0.0728771,249887000.00,0.709718
0.620685,-0.0753068,249877000.00,0.728084
0.625685,-0.0779354,249794000.00,0.747924
0.630685,-0.080785,249627000.00,0.769416
0.635685,-0.0838766,249367000.00,0.792731
0.640685,-0.0872275,249005000.00,0.818002
0.645685,-0.0908477,248541000.00,0.845291
0.650685,-0.0947373,247985000.00,0.874534
0.655685,-0.0988852,247360000.00,0.905486
0.660685,-0.10327,246698000.00,0.937672
0.665685,-0.107866,246042000.00,0.97032
0.670685,-0.112645,245438000.00,1.00228
0.675685,-0.117583,244933000.00,1.03187
