300000000.0,0.0
309010954.3009176,0.01
313109269.9296193,0.02
315808358.12931514,0.03
317828908.862443,0.04
319446597.30292904,0.05
320796835.9272528,0.06
321956343.3991187,0.07
322972853.57221365,0.08
323878112.0730261,0.09
324694313.0126638,0.1
325437588.615338,0.11
326120036.6265695,0.12
326750964.5336604,0.13
327337687.9225261,0.14
327886062.0354524,0.15
328400846.90503776,0.16
328885964.9552462,0.17
329344686.98768026,0.18
329779769.20424545,0.19
330193555.97271,0.2
330588058.131051,0.21
330965013.5053085,0.22
331325934.28204155,0.23
331672144.52173644,0.24
332004810.1788166,0.25
332324963.3567753,0.26
332633522.07874495,0.27
332931306.5337482,0.28
333219052.5271324,0.29
333497422.69376284,0.3
333767015.90647966,0.31
334028375.2177671,0.32
334281994.60094976,0.33
334528324.7024454,0.34
334767777.7743363,0.35000000000000003
335000731.9236427,0.36
335227534.7889075,0.37
335448506.7343495,0.38
335663943.63566405,0.39
335874119.31860185,0.4
336079287.70103544,0.41000000000000003
336279684.6807817,0.42
336475529.80458164,0.43
336667027.7480108,0.44
336854369.631475,0.45
337037734.19361967,0.46
337217288.84031385,0.47000000000000003
337393190.5847241,0.48
337565586.8917809,0.49
337734616.4384835,0.5
337900409.79991704,0.51
338063090.0695348,0.52
338222773.4211247,0.53
338379569.6189249,0.54
338533582.48152906,0.55
338684910.30451804,0.56
338833646.246153,0.5700000000000001
338979878.6799383,0.58
339123691.5174156,0.59
339265164.5041567,0.6
339404373.49158514,0.61
339541390.6869567,0.62
339676284.88357556,0.63
339809121.6730921,0.64
339939963.6415319,0.65
340068870.55053,0.66
340195899.50509274,0.67
340321105.10907114,0.68
340444539.6094111,0.6900000000000001
340566253.0301413,0.7000000000000001
340686293.2969603,0.71
340804706.3532071,0.72
340921536.2679191,0.73
341036825.3366174,0.74
341150614.17540014,0.75
341262941.80887,0.76
341373845.7523746,0.77
341483362.0889964,0.78
341591525.5416897,0.79
341698369.5409265,0.8
341803926.28818417,0.81
341908226.81557757,0.8200000000000001
342011301.04191315,0.8300000000000001
342113177.82542056,0.84
342213885.0133946,0.85
342313449.48896325,0.86
342411897.21517897,0.87
342509253.2766146,0.88
342605541.9186327,0.89
342700786.58448213,0.9
342795009.95036453,0.91
342888233.9586033,0.92
342980479.84903675,0.93
343071768.18874806,0.9400000000000001
343162118.9002374,0.9500000000000001
343251551.28813267,0.96
343340084.0645295,0.97
343427735.3730437,0.98
343514522.8116538,0.99
343600463.4544068,1.0
