Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;1354000.00
0.0002;0;2708200.00
0.0003;0;4062620.00
0.0004;0;5417240.00
0.0005;0;6772070.00
0.0006;0;8127110.00
0.0007;0;9482350.00
0.0008;0;10837800.00
0.0009;0;12193500.00
0.001;0;13549300.00
0.0011;0;14905400.00
0.0012;0;16261700.00
0.0013;0;17618100.00
0.0014;0;18974800.00
0.0015;0;20331700.00
0.0016;0;21688800.00
0.0017;0;23046100.00
0.0018;0;24403600.00
0.0019;0;25761400.00
0.002;0;27119300.00
0.0021;0;28477400.00
0.0022;0;29835700.00
0.0023;0;31194200.00
0.0024;0;32553000.00
0.0025;0;33911900.00
0.0026;0;35271000.00
0.0027;0;36630400.00
0.0028;0;37989900.00
0.0029;0;39349700.00
0.003;0;40709600.00
0.0031;0;42069800.00
0.0032;0;43430100.00
0.0033;0;44790700.00
0.0034;0;46151500.00
0.0035;0;47512400.00
0.0036;0;48873600.00
0.0037;0;50234900.00
0.0038;0;51596500.00
0.0039;0;52958300.00
0.004;0;54320200.00
0.0041;0;55682400.00
0.0042;0;57044700.00
0.0043;0;58407300.00
0.0044;0;59770100.00
0.0045;0;61133000.00
0.0046;0;62496200.00
0.0047;0;63859600.00
0.0048;0;65223100.00
0.0049;0;66586900.00
0.005;0;67950800.00
0.0051;0;69315000.00
0.0052;0;70679300.00
0.0053;0;72043900.00
0.0054;0;73408600.00
0.0055;0;74773600.00
0.0056;0;76138700.00
0.0057;0;77504000.00
0.0058;0;78869600.00
0.0059;0;80235300.00
0.006;0;81601200.00
0.0061;0;82967400.00
0.0062;0;84333700.00
0.0063;0;85700200.00
0.0064;0;87066900.00
0.0065;0;88433800.00
0.0066;0;89800900.00
0.0067;0;91168200.00
0.0068;0;92535700.00
0.0069;0;93903400.00
0.007;0;95271300.00
0.0071;0;96639400.00
0.0072;0;98007600.00
0.0073;0;99376100.00
0.0074;0;100745000.00
0.0075;0;102114000.00
0.0076;0;103483000.00
0.0077;0;104852000.00
0.0078;0;106221000.00
0.0079;0;107591000.00
0.008;0;108961000.00
0.0081;0;110331000.00
0.0082;0;111701000.00
0.0083;0;113071000.00
0.0084;0;114442000.00
0.0085;0;115813000.00
0.0086;0;117184000.00
0.0087;0;118555000.00
0.0088;0;119926000.00
0.0089;0;121298000.00
0.009;0;122669000.00
0.0091;0;124041000.00
0.0092;0;125413000.00
0.0093;0;126786000.00
0.0094;0;128158000.00
0.0095;0;129531000.00
0.0096;0;130904000.00
0.0097;0;132277000.00
0.0098;0;133650000.00
0.0099;0;135024000.00
0.01;0;136397000.00
0.0101;0;137771000.00
0.0102;0;139145000.00
0.0103;0;140519000.00
0.0104;0;141894000.00
0.0105;0;143268000.00
0.0106;0;144643000.00
0.0107;0;146018000.00
0.0108;0;147393000.00
0.0109;0;148768000.00
0.011;0;150144000.00
0.0111;0;151520000.00
0.0112;0;152895000.00
0.0113;0;154271000.00
0.0114;0;155648000.00
0.0115;0;157024000.00
0.0116;0;158401000.00
0.0117;0;159778000.00
0.0118;0;161155000.00
0.0119;0;162532000.00
0.012;0;163909000.00
0.0121;0;165287000.00
0.0122;0;166664000.00
0.0123;0;168042000.00
0.0124;0;169420000.00
0.0125;0;170798000.00
0.0126;0;172175000.00
0.0127;0;173551000.00
0.0128;0;174926000.00
0.0129;0;176300000.00
0.013;0;177674000.00
0.0131;0;179048000.00
0.0132;0;180420000.00
0.0133;0;181790000.00
0.0134;0;183159000.00
0.0135;0;184526000.00
0.0136;0;185893000.00
0.0137;0;187258000.00
0.0138;0;188620000.00
0.0139;0;189980000.00
0.014;0;191338000.00
0.0141;0;192693000.00
0.0142;0;194046000.00
0.0143;0;195396000.00
0.0144;0;196742000.00
0.0145;0;198083000.00
0.0146;0;199422000.00
0.0147;0;200755000.00
0.0148;0;202079000.00
0.0149;0;203388000.00
0.015;0;204690000.00
0.0151;0;205984000.00
0.0152;0;207274000.00
0.0153;0;208560000.00
0.0154;0;209851000.00
0.0155;0;211152000.00
0.0156;0;212470000.00
0.0157;0;213813000.00
0.0158;0;215190000.00
0.0159;0;216607000.00
0.016;0;218080000.00
0.0161;0;219613000.00
0.0161;0;219613000.00
0.0161912;0;219724000.00
0.0168589;0;228473000.00
0.01962;0.00033506;275122000.00
0.02262;0.00139479;277089000.00
0.02562;0.00229264;278852000.00
0.02862;0.00311353;280413000.00
0.03162;0.00390759;282010000.00
0.0346199;0.00468156;283501000.00
0.03762;0.00544448;285051000.00
0.04062;0.00620925;286654000.00
0.04362;0.00699513;288358000.00
0.04662;0.00779994;290070000.00
0.04962;0.00862209;291805000.00
0.05262;0.0094594;293534000.00
0.05562;0.0103154;294958000.00
0.0586199;0.0111807;295749000.00
0.06162;0.0120326;296521000.00
0.06462;0.0128658;297275000.00
0.0676199;0.0136888;298024000.00
0.07062;0.0145063;298760000.00
0.0736199;0.0153218;299512000.00
0.07662;0.0161379;300269000.00
0.07962;0.0169562;301035000.00
0.08262;0.0177772;301804000.00
0.08562;0.0186018;302568000.00
0.0886199;0.0194298;303336000.00
0.09162;0.020263;304030000.00
0.0946199;0.0211033;304547000.00
0.09762;0.021946;305064000.00
0.10062;0.0227894;305579000.00
0.10362;0.0236314;306091000.00
0.10662;0.0244697;306600000.00
0.10962;0.0253052;307108000.00
0.11262;0.0261391;307616000.00
0.11562;0.026973;308126000.00
0.11862;0.0278076;308637000.00
0.12162;0.0286445;309151000.00
0.12462;0.0294852;309669000.00
0.12762;0.030332;310143000.00
0.13062;0.0311846;310538000.00
0.13362;0.0320403;310934000.00
0.13662;0.0328983;311331000.00
0.13962;0.0337579;311727000.00
0.14262;0.0346183;312123000.00
0.14562;0.0354776;312517000.00
0.14862;0.0363358;312911000.00
0.15162;0.0371939;313306000.00
0.15462;0.0380539;313704000.00
0.15762;0.0389174;314105000.00
0.16062;0.0397852;314508000.00
0.16362;0.0406589;314857000.00
0.16662;0.0415374;315185000.00
0.16962;0.0424195;315515000.00
0.17262;0.0433046;315845000.00
0.17562;0.0441926;316176000.00
0.17862;0.045083;316508000.00
0.18162;0.0459753;316839000.00
0.18462;0.046869;317171000.00
0.18762;0.0477649;317505000.00
0.19062;0.0486641;317841000.00
0.19362;0.0495676;318180000.00
0.19662;0.0504767;318494000.00
0.19962;0.0513914;318782000.00
0.20262;0.0523107;319071000.00
0.20562;0.0532341;319362000.00
0.20862;0.0541615;319653000.00
0.21162;0.0550928;319945000.00
0.21462;0.0560281;320239000.00
0.21762;0.056968;320536000.00
0.22062;0.0579129;320833000.00
0.22362;0.0588627;321133000.00
0.22662;0.0598177;321434000.00
0.22962;0.0607792;321705000.00
0.23262;0.0617469;321970000.00
0.23562;0.0627202;322236000.00
0.23862;0.0636992;322503000.00
0.24162;0.0646837;322771000.00
0.24462;0.0656739;323042000.00
0.24762;0.0666709;323315000.00
0.25062;0.0676752;323591000.00
0.25362;0.0686876;323870000.00
0.25662;0.0697088;324152000.00
0.25962;0.0707396;324413000.00
0.26262;0.0717794;324666000.00
0.26562;0.0728275;324921000.00
0.26862;0.0738838;325177000.00
0.27162;0.0749485;325436000.00
0.27462;0.076022;325698000.00
0.27762;0.0771054;325963000.00
0.28062;0.0781998;326231000.00
0.28362;0.0793061;326503000.00
