Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;1121960.00
0.0002;0;2243970.00
0.0003;0;3366040.00
0.0004;0;4488160.00
0.0005;0;5610330.00
0.0006;0;6732560.00
0.0007;0;7854840.00
0.0008;0;8977180.00
0.0009;0;10099600.00
0.001;0;11222000.00
0.0011;0;12344500.00
0.0012;0;13467100.00
0.0013;0;14589700.00
0.0014;0;15712300.00
0.0015;0;16835100.00
0.0016;0;17957800.00
0.0017;0;19080600.00
0.0018;0;20203500.00
0.0019;0;21326500.00
0.002;0;22449400.00
0.0021;0;23572500.00
0.0022;0;24695600.00
0.0023;0;25818700.00
0.0024;0;26941900.00
0.0025;0;28065200.00
0.0026;0;29188500.00
0.0027;0;30311800.00
0.0028;0;31435200.00
0.0029;0;32558700.00
0.003;0;33682200.00
0.0031;0;34805800.00
0.0032;0;35929400.00
0.0033;0;37053100.00
0.0034;0;38176800.00
0.0035;0;39300600.00
0.0036;0;40424500.00
0.0037;0;41548400.00
0.0038;0;42672300.00
0.0039;0;43796300.00
0.004;0;44920300.00
0.0041;0;46044500.00
0.0042;0;47168600.00
0.0043;0;48292800.00
0.0044;0;49417100.00
0.0045;0;50541400.00
0.0046;0;51665800.00
0.0047;0;52790200.00
0.0048;0;53914700.00
0.0049;0;55039200.00
0.005;0;56163800.00
0.0051;0;57288400.00
0.0052;0;58413100.00
0.0053;0;59537800.00
0.0054;0;60662600.00
0.0055;0;61787500.00
0.0056;0;62912400.00
0.0057;0;64037300.00
0.0058;0;65162300.00
0.0059;0;66287400.00
0.006;0;67412500.00
0.0061;0;68537600.00
0.0062;0;69662900.00
0.0063;0;70788100.00
0.0064;0;71913400.00
0.0065;0;73038800.00
0.0066;0;74164200.00
0.0067;0;75289700.00
0.0068;0;76415200.00
0.0069;0;77540800.00
0.007;0;78666400.00
0.0071;0;79792100.00
0.0072;0;80917900.00
0.0073;0;82043600.00
0.0074;0;83169500.00
0.0075;0;84295400.00
0.0076;0;85421300.00
0.0077;0;86547300.00
0.0078;0;87673400.00
0.0079;0;88799500.00
0.008;0;89925600.00
0.0081;0;91051800.00
0.0082;0;92178100.00
0.0083;0;93304400.00
0.0084;0;94430700.00
0.0085;0;95557100.00
0.0086;0;96683600.00
0.0087;0;97810100.00
0.0088;0;98936700.00
0.0089;0;100063000.00
0.009;0;101190000.00
0.0091;0;102317000.00
0.0092;0;103443000.00
0.0093;0;104570000.00
0.0094;0;105697000.00
0.0095;0;106824000.00
0.0096;0;107951000.00
0.0097;0;109078000.00
0.0098;0;110205000.00
0.0099;0;111332000.00
0.01;0;112459000.00
0.0101;0;113587000.00
0.0102;0;114714000.00
0.0103;0;115841000.00
0.0104;0;116969000.00
0.0105;0;118096000.00
0.0106;0;119224000.00
0.0107;0;120351000.00
0.0108;0;121479000.00
0.0109;0;122606000.00
0.011;0;123734000.00
0.0111;0;124862000.00
0.0112;0;125990000.00
0.0113;0;127118000.00
0.0114;0;128245000.00
0.0115;0;129373000.00
0.0116;0;130501000.00
0.0117;0;131629000.00
0.0118;0;132758000.00
0.0119;0;133886000.00
0.012;0;135014000.00
0.0121;0;136142000.00
0.0122;0;137270000.00
