Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;995140.00
0.0002;0;1990420.00
0.0003;0;2985850.00
0.0004;0;3981430.00
0.0005;0;4977150.00
0.0006;0;5973010.00
0.0007;0;6969020.00
0.0008;0;7965170.00
0.0009;0;8961470.00
0.001;0;9957910.00
0.0011;0;10954500.00
0.0012;0;11951200.00
0.0013;0;12948100.00
0.0014;0;13945100.00
0.0015;0;14942300.00
0.0016;0;15939600.00
0.0017;0;16937000.00
0.0018;0;17934600.00
0.0019;0;18932300.00
0.002;0;19930200.00
0.0021;0;20928200.00
0.0022;0;21926400.00
0.0023;0;22924700.00
0.0024;0;23923100.00
0.0025;0;24921700.00
0.0026;0;25920500.00
0.0027;0;26919300.00
0.0028;0;27918300.00
0.0029;0;28917500.00
0.003;0;29916800.00
0.0031;0;30916200.00
0.0032;0;31915800.00
0.0033;0;32915500.00
0.0034;0;33915400.00
0.0035;0;34915400.00
0.0036;0;35915500.00
0.0037;0;36915800.00
0.0038;0;37916300.00
0.0039;0;38916800.00
0.004;0;39917500.00
0.0041;0;40918400.00
0.0042;0;41919400.00
0.0043;0;42920500.00
0.0044;0;43921800.00
0.0045;0;44923200.00
0.0046;0;45924700.00
0.0047;0;46926400.00
0.0048;0;47928200.00
0.0049;0;48930200.00
0.005;0;49932300.00
0.0051;0;50934600.00
0.0052;0;51937000.00
0.0053;0;52939500.00
0.0054;0;53942100.00
0.0055;0;54945000.00
0.0056;0;55947900.00
0.0057;0;56951000.00
0.0058;0;57954200.00
0.0059;0;58957600.00
0.006;0;59961100.00
0.0061;0;60964700.00
0.0062;0;61968500.00
0.0063;0;62972400.00
0.0064;0;63976400.00
0.0065;0;64980600.00
0.0066;0;65984900.00
0.0067;0;66989400.00
0.0068;0;67994000.00
0.0069;0;68998700.00
0.007;0;70003600.00
0.0071;0;71008600.00
0.0072;0;72013800.00
0.0073;0;73019000.00
0.0074;0;74024500.00
0.0075;0;75030000.00
0.0076;0;76035700.00
0.0077;0;77041500.00
0.0078;0;78047500.00
0.0079;0;79053600.00
0.008;0;80059900.00
0.0081;0;81066200.00
0.0082;0;82072700.00
0.0083;0;83079400.00
0.0084;0;84086200.00
0.0085;0;85093100.00
0.0086;0;86100100.00
0.0087;0;87107300.00
0.0088;0;88114700.00
0.0089;0;89122100.00
0.009;0;90129700.00
0.0091;0;91137400.00
0.0092;0;92145300.00
0.0093;0;93153300.00
0.0094;0;94161400.00
0.0095;0;95169700.00
0.0096;0;96178100.00
0.0097;0;97186600.00
0.0098;0;98195300.00
0.0099;0;99204100.00
0.01;0;100213000.00
0.0101;0;101222000.00
0.0102;0;102231000.00
0.0103;0;103241000.00
0.0104;0;104250000.00
0.0105;0;105260000.00
0.0106;0;106269000.00
0.0107;0;107279000.00
0.0108;0;108289000.00
0.0109;0;109300000.00
0.011;0;110310000.00
0.0111;0;111320000.00
0.0112;0;112331000.00
0.0113;0;113341000.00
0.0114;0;114352000.00
0.0115;0;115363000.00
0.0116;0;116374000.00
0.0117;0;117385000.00
0.0118;0;118397000.00
0.0119;0;119408000.00
0.012;0;120420000.00
0.0121;0;121432000.00
0.0122;0;122443000.00
0.0123;0;123455000.00
0.0124;0;124467000.00
0.0125;0;125480000.00
0.0126;0;126492000.00
0.0127;0;127505000.00
0.0128;0;128517000.00
0.0129;0;129530000.00
0.013;0;130543000.00
0.0131;0;131556000.00
0.0132;0;132569000.00
0.0133;0;133582000.00
0.0134;0;134596000.00
0.0135;0;135609000.00
0.0136;0;136623000.00
0.0137;0;137637000.00
0.0138;0;138651000.00
0.0139;0;139665000.00
0.014;0;140679000.00
0.0141;0;141694000.00
0.0142;0;142708000.00
0.0143;0;143723000.00
0.0144;0;144737000.00
0.0145;0;145752000.00
0.0146;0;146767000.00
0.0147;0;147782000.00
0.0148;0;148798000.00
0.0149;0;149813000.00
0.015;0;150828000.00
0.0151;0;151844000.00
0.0152;0;152860000.00
0.0153;0;153876000.00
0.0154;0;154892000.00
0.0155;0;155908000.00
0.0156;0;156924000.00
0.0157;0;157941000.00
0.0158;0;158957000.00
0.0159;0;159974000.00
0.016;0;160990000.00
0.0161;0;162007000.00
0.0162;0;163024000.00
0.0163;0;164040000.00
0.0164;0;165056000.00
0.0165;0;166071000.00
0.0166;0;167086000.00
0.0167;0;168100000.00
0.0168;0;169115000.00
0.0169;0;170129000.00
0.017;0;171143000.00
0.0171;0;172156000.00
0.0172;0;173168000.00
0.0173;0;174180000.00
0.0174;0;175191000.00
0.0175;0;176201000.00
0.0176;0;177210000.00
0.0177;0;178219000.00
0.0178;0;179228000.00
0.0179;0;180235000.00
0.018;0;181241000.00
0.0181;0;182246000.00
0.0182;0;183249000.00
0.0183;0;184252000.00
0.0184;0;185253000.00
0.0185;0;186253000.00
0.0186;0;187252000.00
0.0187;0;188248000.00
0.0188;0;189243000.00
0.0189;0;190235000.00
0.019;0;191226000.00
0.0191;0;192214000.00
0.0192;0;193200000.00
0.0193;0;194177000.00
0.0194;0;195143000.00
0.0195;0;196102000.00
0.0196;0;197054000.00
0.0197;0;197999000.00
0.0198;0;198939000.00
0.0199;0;199872000.00
0.02;0;200801000.00
0.0201;0;201730000.00
0.0202;0;202660000.00
0.0203;0;203596000.00
0.0204;0;204538000.00
0.0205;0;205490000.00
0.0206;0;206457000.00
0.0207;0;207441000.00
0.0208;0;208449000.00
0.0209;0;209481000.00
0.021;0;210546000.00
0.021;0;210546000.00
0.0225052;0;223180000.00
0.0275052;0.000590759;275741000.00
0.0325052;0.00178142;278048000.00
0.0375052;0.00283015;280022000.00
0.0425052;0.00381773;281937000.00
0.0475052;0.00477627;283837000.00
0.0525052;0.00573039;285837000.00
0.0575052;0.00670814;287914000.00
0.0625052;0.00770783;290022000.00
0.0675052;0.0087258;292164000.00
0.0725052;0.00975998;294333000.00
0.0775052;0.0108169;295633000.00
0.0825052;0.0118676;296554000.00
0.0875052;0.0129019;297467000.00
0.0925052;0.013925;298384000.00
0.0975052;0.0149418;299311000.00
0.102505;0.015957;300248000.00
0.107505;0.0169738;301195000.00
0.112505;0.0179933;302146000.00
0.117505;0.0190163;303103000.00
0.122505;0.0200457;304068000.00
0.127505;0.0210878;304737000.00
0.132505;0.0221338;305382000.00
0.137505;0.0231798;306016000.00
0.142505;0.0242218;306636000.00
0.147505;0.0252588;307258000.00
0.152505;0.0262936;307887000.00
0.157505;0.0273285;308523000.00
0.162505;0.0283663;309172000.00
0.167505;0.0294096;309827000.00
0.172505;0.0304606;310431000.00
0.177505;0.0315195;310935000.00
0.182505;0.0325824;311434000.00
0.187505;0.0336476;311927000.00
0.192505;0.0347129;312415000.00
0.197505;0.0357757;312896000.00
0.202505;0.0368383;313392000.00
0.207505;0.0379042;313888000.00
0.212505;0.0389755;314385000.00
0.217505;0.0400533;314882000.00
0.222505;0.04114;315290000.00
0.227505;0.0422325;315698000.00
0.232505;0.0433295;316107000.00
0.237505;0.0444302;316517000.00
0.242505;0.0455334;316926000.00
0.247505;0.046639;317338000.00
0.252505;0.0477482;317752000.00
0.257505;0.0488629;318169000.00
0.262505;0.0499845;318589000.00
0.267505;0.0511153;318948000.00
0.272505;0.0522533;319306000.00
0.277505;0.0533975;319665000.00
0.282505;0.0545474;320026000.00
0.287505;0.0557037;320390000.00
0.292505;0.0568666;320755000.00
0.297505;0.0580364;321123000.00
0.302505;0.0592138;321494000.00
0.307505;0.0604003;321853000.00
0.312505;0.0615969;322180000.00
0.317505;0.0628027;322509000.00
0.322505;0.0640175;322841000.00
0.327505;0.0652418;323176000.00
0.332505;0.0664771;323515000.00
0.337505;0.0677244;323857000.00
0.342505;0.0689846;324204000.00
0.347505;0.0702583;324547000.00
0.352505;0.0715466;324861000.00
0.357505;0.0728488;325177000.00
0.362505;0.0741647;325497000.00
0.367505;0.0754957;325822000.00
0.372505;0.0768436;326152000.00
0.377505;0.0782104;326488000.00
0.382505;0.0795978;326831000.00
0.387505;0.0810082;327155000.00
0.392505;0.0824421;327474000.00
0.397505;0.0838998;327798000.00
0.402505;0.0853819;328128000.00
0.407505;0.086891;328466000.00
0.412505;0.0884295;328813000.00
0.417505;0.0900005;329168000.00
0.422505;0.0916073;329500000.00
0.427505;0.0932516;329841000.00
0.432505;0.0949356;330192000.00
0.437505;0.0966628;330553000.00
0.442505;0.0984375;330927000.00
0.447505;0.100265;331311000.00
0.452505;0.102149;331682000.00
0.457505;0.104095;332066000.00
0.462505;0.106106;332466000.00
0.467505;0.108189;332884000.00
0.472505;0.110353;333317000.00
0.477505;0.112604;333745000.00
0.482505;0.11495;334193000.00
0.487505;0.1174;334666000.00
0.492505;0.119965;335166000.00
0.497505;0.122659;335665000.00
0.502505;0.125492;336193000.00
0.507505;0.128479;336757000.00
0.512505;0.131638;337344000.00
0.517505;0.134987;337955000.00
0.522505;0.138563;338626000.00
0.527505;0.142459;339237000.00
0.532505;0.146737;339899000.00
0.537505;0.151424;340607000.00
0.542505;0.156513;341334000.00
0.547505;0.161994;342094000.00
0.552505;0.167854;342871000.00
0.557505;0.174081;343663000.00
0.562505;0.180667;344476000.00
0.567505;0.187601;345290000.00
0.572505;0.194871;346112000.00
0.577505;0.202465;346940000.00
0.582505;0.210374;347770000.00
0.587505;0.218585;348595000.00
0.592505;0.227082;349415000.00
0.597505;0.235852;350231000.00
0.602505;0.244892;351044000.00
0.607505;0.254199;351853000.00
0.612505;0.263776;352658000.00
0.617505;0.273624;353460000.00
0.622505;0.283747;354259000.00
0.627505;0.294149;355054000.00
0.632505;0.304835;355847000.00
0.637505;0.315811;356637000.00
0.642505;0.327083;357426000.00
0.647505;0.338663;358215000.00
0.652505;0.350561;359004000.00
0.657505;0.36279;359790000.00
0.662505;0.375361;360539000.00
0.667505;0.388284;361266000.00
0.672505;0.40157;361990000.00
0.677505;0.41523;362713000.00
0.682505;0.429278;363437000.00
0.687505;0.443727;364159000.00
0.692505;0.458591;364882000.00
0.697505;0.473888;365605000.00
0.702505;0.489633;366330000.00
0.707505;0.505844;367054000.00
0.712505;0.52254;367781000.00
0.717505;0.539741;368509000.00
0.722505;0.557468;369240000.00
0.727505;0.575743;369974000.00
0.732505;0.59459;370710000.00
0.737505;0.614033;371451000.00
0.742505;0.634099;372195000.00
0.747505;0.654816;372945000.00
0.752505;0.676214;373699000.00
0.757505;0.698324;374458000.00
0.762505;0.72118;375223000.00
0.767505;0.744815;375995000.00
0.772505;0.769269;376774000.00
0.777505;0.794582;377560000.00
0.782505;0.820794;378355000.00
0.787505;0.847951;379159000.00
0.792505;0.876102;379971000.00
0.797505;0.905296;380794000.00
0.802505;0.935589;381628000.00
0.807505;0.967036;382473000.00
0.812505;0.999701;383331000.00
0.817505;1.03365;384201000.00
0.822505;1.06895;385086000.00
0.827505;1.10568;385985000.00
0.832505;1.14392;386900000.00
0.837505;1.18376;387764000.00
0.842505;1.22533;388598000.00
0.847505;1.26871;389445000.00
0.852505;1.31401;390305000.00
0.857505;1.36135;391178000.00
0.862505;1.41084;392066000.00
0.867505;1.46262;392968000.00
0.872505;1.51681;393887000.00
0.877505;1.57356;394821000.00
0.882505;1.633;395772000.00
0.887505;1.6953;396739000.00
0.892505;1.76059;397722000.00
0.897505;1.829;398721000.00
0.902505;1.90069;399737000.00
0.907505;1.97578;400767000.00
0.912505;2.05432;401805000.00
0.917505;2.13634;402850000.00
