Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;2352460.00
0.0002;0;4704970.00
0.0003;0;7057520.00
0.0004;0;9410100.00
0.0005;0;11762700.00
0.0006;0;14115400.00
0.0007;0;16468100.00
0.0008;0;18820900.00
0.0009;0;21173700.00
0.001;0;23526500.00
0.0011;0;25879400.00
0.0012;0;28232300.00
0.0013;0;30585200.00
0.0014;0;32938200.00
0.0015;0;35291300.00
0.0016;0;37644300.00
0.0017;0;39997500.00
0.0018;0;42350600.00
0.0019;0;44703800.00
0.002;0;47057100.00
0.0021;0;49410300.00
0.0022;0;51763700.00
0.0023;0;54117000.00
0.0024;0;56470400.00
0.0025;0;58823900.00
0.0026;0;61177400.00
0.0027;0;63530900.00
0.0028;0;65884500.00
0.0029;0;68238100.00
0.003;0;70591700.00
0.0031;0;72945400.00
0.0032;0;75299100.00
0.0033;0;77652900.00
0.0034;0;80006700.00
0.0035;0;82360600.00
0.0036;0;84714400.00
0.0037;0;87068400.00
0.0038;0;89422300.00
0.0039;0;91776300.00
0.004;0;94130400.00
0.0041;0;96484500.00
0.0042;0;98838600.00
0.0043;0;101193000.00
0.0044;0;103547000.00
0.0045;0;105901000.00
0.0046;0;108256000.00
0.0047;0;110610000.00
0.0048;0;112964000.00
0.0049;0;115319000.00
0.005;0;117673000.00
0.0051;0;120028000.00
0.0052;0;122382000.00
0.0053;0;124737000.00
0.0054;0;127091000.00
0.0055;0;129446000.00
0.0056;0;131801000.00
0.0057;0;134155000.00
0.0058;0;136510000.00
0.0059;0;138865000.00
0.006;0;141220000.00
0.0061;0;143575000.00
0.0062;0;145930000.00
0.0063;0;148284000.00
0.0064;0;150640000.00
0.0065;0;152995000.00
0.0066;0;155350000.00
0.0067;0;157705000.00
0.0068;0;160060000.00
0.0069;0;162415000.00
0.007;0;164770000.00
0.0071;0;167126000.00
0.0072;0;169481000.00
0.0073;0;171836000.00
0.0074;0;174192000.00
0.0075;0;176547000.00
0.0076;0;178903000.00
0.0077;0;181258000.00
0.0078;0;183614000.00
0.0079;0;185969000.00
0.008;0;188325000.00
0.0081;0;190681000.00
0.0082;0;193036000.00
0.0083;0;195392000.00
0.0084;0;197748000.00
0.0085;0;200104000.00
0.0086;0;202459000.00
0.0087;0;204815000.00
0.0088;0;207171000.00
0.0089;0;209527000.00
0.009;0;211883000.00
0.0091;0;214239000.00
0.0092;0;216595000.00
0.0093;0;218952000.00
0.0094;0;221308000.00
0.0095;0;223664000.00
0.0096;0;226020000.00
0.0097;0;228376000.00
0.0098;0;230733000.00
0.0099;0;233086000.00
0.01;0;235437000.00
0.0101;0;237785000.00
0.0102;0;240127000.00
0.0103;0;242464000.00
0.0104;0;244791000.00
0.0105;0;247110000.00
0.0106;0;249415000.00
0.0107;0;251706000.00
0.0108;0;253977000.00
0.0109;0;256224000.00
0.011;0;258438000.00
0.0111;0;260613000.00
0.0112;0;262759000.00
0.0113;0;264972000.00
0.0114;9.65E-08;267376000.00
0.0115;8.96E-07;270114000.00
0.0116;1.88E-05;272264000.00
0.0116;1.88E-05;272264000.00
0.0116912;4.35E-05;273499000.00
0.0123589;0.000468393;275335000.00
0.0161849;0.00238992;278936000.00
0.0211849;0.00457461;283364000.00
0.0261849;0.00669052;287683000.00
0.0311849;0.00876594;291924000.00
0.0361849;0.0110888;295656000.00
0.0411849;0.0134683;297740000.00
0.0461849;0.0156803;299742000.00
0.0511849;0.0178422;301724000.00
0.0561849;0.0200256;303785000.00
0.0611849;0.0224503;305311000.00
0.0661849;0.0247674;306674000.00
0.0711849;0.0269971;308011000.00
0.0761849;0.0291967;309354000.00
0.0811849;0.0315379;310634000.00
0.0861849;0.0339327;311716000.00
0.0911849;0.0362504;312750000.00
0.0961849;0.0385098;313771000.00
0.101185;0.0408145;314809000.00
0.106185;0.0432224;315718000.00
0.111185;0.0456148;316585000.00
0.116185;0.0479536;317427000.00
0.121185;0.0502826;318291000.00
0.126185;0.0526955;319067000.00
0.131185;0.0551293;319821000.00
0.136185;0.0575394;320554000.00
0.141185;0.0599273;321296000.00
0.146185;0.0623696;321977000.00
0.151185;0.0648389;322642000.00
0.156185;0.0673036;323295000.00
0.161185;0.069755;323950000.00
0.166185;0.0722472;324566000.00
0.171185;0.0747642;325163000.00
0.176185;0.077282;325753000.00
0.181185;0.0797951;326347000.00
0.186185;0.082347;326908000.00
0.191185;0.0849234;327455000.00
0.196185;0.0875021;327996000.00
0.201185;0.0900811;328542000.00
0.206185;0.0927;329058000.00
0.211185;0.0953439;329567000.00
0.216185;0.0979939;330071000.00
0.221185;0.100652;330576000.00
0.226185;0.10335;331060000.00
0.231185;0.106072;331539000.00
0.236185;0.108802;332016000.00
0.241185;0.111554;332488000.00
0.246185;0.114345;332948000.00
0.251185;0.117159;333405000.00
0.256185;0.119985;333862000.00
0.261185;0.122849;334307000.00
0.266185;0.125748;334750000.00
0.271185;0.12867;335190000.00
