Time [s];EPS [-];VM [Pa]
0;0;0.00
0.0001;0;4535700.00
0.0002;0;9071420.00
0.0003;0;13607100.00
0.0004;0;18142900.00
0.0005;0;22678600.00
0.0006;0;27214300.00
0.0007;0;31750100.00
0.0008;0;36285800.00
0.0009;0;40821600.00
0.001;0;45357300.00
0.0011;0;49893100.00
0.0012;0;54428900.00
0.0013;0;58964700.00
0.0014;0;63500500.00
0.0015;0;68036200.00
0.0016;0;72572000.00
0.0017;0;77107900.00
0.0018;0;81643700.00
0.0019;0;86179500.00
0.002;0;90715300.00
0.0021;0;95251200.00
0.0022;0;99787000.00
0.0023;0;104323000.00
0.0024;0;108859000.00
0.0025;0;113395000.00
0.0026;0;117930000.00
0.0027;0;122466000.00
0.0028;0;127002000.00
0.0029;0;131538000.00
0.003;0;136074000.00
0.0031;0;140610000.00
0.0032;0;145146000.00
0.0033;0;149682000.00
0.0034;0;154218000.00
0.0035;0;158754000.00
0.0036;0;163289000.00
0.0037;0;167825000.00
0.0038;0;172361000.00
0.0039;0;176897000.00
0.004;0;181433000.00
0.0041;0;185969000.00
0.0042;0;190505000.00
0.0043;0;195041000.00
0.0044;0;199577000.00
0.0045;0;204113000.00
0.0046;0;208649000.00
0.0047;0;213185000.00
0.0048;0;217721000.00
0.0049;0;222257000.00
0.005;0;226793000.00
0.0051;0;231329000.00
0.0052;0;235865000.00
0.0053;0;240401000.00
0.0054;0;244937000.00
0.0055;0;249473000.00
0.0056;0;254001000.00
0.0057;0;258508000.00
0.0058;0;262978000.00
0.0059;1.11E-07;267370000.00
0.006;1.18E-05;270742000.00
0.0061;5.59E-05;272028000.00
0.0061;5.59E-05;272028000.00
0.00619125;0.000109362;272966000.00
0.00685887;0.000681942;274938000.00
0.0106849;0.00393534;281417000.00
0.0156849;0.00800064;289610000.00
0.0206849;0.0120812;295774000.00
0.0256849;0.0162756;299601000.00
0.0306849;0.0204124;303253000.00
0.0356849;0.0246373;305897000.00
0.0406849;0.0288361;308424000.00
0.0456849;0.0330549;310592000.00
0.0506849;0.0372979;312522000.00
0.0556849;0.0415255;314340000.00
0.0606849;0.0458009;315935000.00
0.0656849;0.0500599;317483000.00
0.0706849;0.0543481;318857000.00
0.0756849;0.0586438;320172000.00
0.0806849;0.0629409;321404000.00
0.0856849;0.0672693;322561000.00
0.0906849;0.0715871;323660000.00
0.0956849;0.075936;324711000.00
0.100685;0.0802855;325714000.00
0.105685;0.0846482;326659000.00
0.110685;0.0890294;327577000.00
0.115685;0.0934099;328438000.00
0.120685;0.0978159;329290000.00
0.125685;0.102223;330088000.00
0.130685;0.106649;330877000.00
0.135685;0.111085;331632000.00
0.140685;0.115531;332358000.00
0.145685;0.119993;333076000.00
0.150685;0.124463;333747000.00
0.155685;0.12895;334423000.00
0.160685;0.133445;335061000.00
0.165685;0.137956;335697000.00
0.170685;0.142478;336305000.00
0.175685;0.147013;336905000.00
0.180685;0.15156;337488000.00
0.185685;0.156121;338055000.00
0.190685;0.160696;338615000.00
0.195685;0.165283;339153000.00
0.200685;0.169885;339692000.00
0.205685;0.174498;340204000.00
0.210685;0.179126;340721000.00
0.215685;0.183767;341215000.00
0.220685;0.188422;341708000.00
0.225685;0.193092;342186000.00
0.230685;0.197774;342659000.00
0.235685;0.202472;343122000.00
0.240685;0.207184;343577000.00
0.245685;0.211911;344026000.00
0.250685;0.216653;344465000.00
0.255685;0.22141;344895000.00
0.260685;0.226182;345309000.00
0.265685;0.230972;345721000.00
0.270685;0.235779;346122000.00
0.275685;0.240605;346523000.00
0.280685;0.245451;346912000.00
0.285685;0.250319;347303000.00
0.290685;0.25521;347683000.00
0.295685;0.260126;348064000.00
0.300685;0.26507;348436000.00
0.305685;0.270047;348811000.00
0.310685;0.275062;349178000.00
0.315685;0.280116;349547000.00
0.320685;0.28521;349908000.00
0.325685;0.290342;350270000.00
0.330685;0.295511;350624000.00
0.335685;0.300718;350979000.00
0.340685;0.305961;351327000.00
0.345685;0.311241;351675000.00
0.350685;0.316557;352018000.00
0.355685;0.321911;352359000.00
0.360685;0.327302;352698000.00
0.365685;0.332731;353033000.00
0.370685;0.338199;353367000.00
0.375685;0.343706;353697000.00
0.380685;0.349255;354027000.00
0.385685;0.354846;354352000.00
0.390685;0.36048;354678000.00
0.395685;0.366158;355000000.00
0.400685;0.371882;355322000.00
0.405685;0.377652;355641000.00
0.410685;0.38347;355959000.00
0.415685;0.389338;356277000.00
0.420685;0.395257;356591000.00
0.425685;0.40123;356906000.00
0.430685;0.407258;357219000.00
0.435685;0.413343;357532000.00
0.440685;0.419489;357844000.00
0.445685;0.425695;358155000.00
0.450685;0.431965;358466000.00
0.455685;0.438302;358777000.00
0.460685;0.444706;359086000.00
0.465685;0.451182;359397000.00
0.470685;0.457733;359707000.00
0.475685;0.464362;360018000.00
0.480685;0.471072;360329000.00
0.485685;0.477868;360641000.00
0.490685;0.484751;360953000.00
0.495685;0.491727;361267000.00
0.500685;0.498798;361581000.00
0.505685;0.50597;361896000.00
0.510685;0.513248;362214000.00
0.515685;0.520635;362534000.00
0.520685;0.528139;362854000.00
0.525685;0.535764;363177000.00
0.530685;0.543516;363496000.00
0.535685;0.551411;363817000.00
0.540685;0.559466;364143000.00
0.545685;0.567705;364475000.00
0.550685;0.576145;364813000.00
0.555685;0.584801;365156000.00
0.560685;0.593686;365505000.00
0.565685;0.602813;365861000.00
0.570685;0.612197;366224000.00
0.575685;0.621857;366594000.00
0.580685;0.631809;366972000.00
0.585685;0.642073;367360000.00
0.590685;0.652672;367756000.00
0.595685;0.663628;368162000.00
