Time [s];EPS [-];VM [Pa]
0.278685;0.0997228;330239000.00
0.283685;0.102026;330659000.00
0.288685;0.104362;331078000.00
0.293685;0.106733;331506000.00
0.298685;0.109145;331943000.00
0.303685;0.111605;332369000.00
0.308685;0.11411;332788000.00
0.313685;0.116662;333217000.00
0.318685;0.119266;333657000.00
0.323685;0.12193;334087000.00
0.328685;0.124655;334517000.00
0.333685;0.127444;334959000.00
0.338685;0.130306;335414000.00
0.343685;0.133248;335855000.00
0.348685;0.136273;336310000.00
0.353685;0.139389;336782000.00
0.358685;0.142607;337251000.00
0.363685;0.145934;337730000.00
0.368685;0.14938;338231000.00
0.373685;0.15296;338733000.00
0.378685;0.156684;339252000.00
0.383685;0.160568;339795000.00
0.388685;0.164629;340343000.00
0.393685;0.168883;340922000.00
0.398685;0.173356;341518000.00
0.403685;0.178067;342142000.00
0.408685;0.183056;342769000.00
0.413685;0.188424;343412000.00
0.418685;0.194265;344100000.00
0.423685;0.200655;344849000.00
0.428685;0.20769;345652000.00
0.433685;0.215456;346519000.00
0.438685;0.223999;347441000.00
0.443685;0.233352;348411000.00
0.448685;0.243548;349426000.00
0.453685;0.254607;350480000.00
0.458685;0.266541;351567000.00
0.463685;0.279422;352616000.00
0.468685;0.293295;353662000.00
0.473685;0.308163;354735000.00
0.478685;0.32402;355824000.00
0.483685;0.340843;356925000.00
0.488685;0.358625;358033000.00
0.493685;0.377378;359150000.00
0.498685;0.397127;360274000.00
0.503685;0.417904;361405000.00
0.508685;0.439745;362543000.00
0.513685;0.462698;363687000.00
0.518685;0.486813;364838000.00
0.523685;0.51215;365998000.00
0.528685;0.538773;367167000.00
0.533685;0.566756;368345000.00
0.538685;0.596182;369536000.00
0.543685;0.62714;370739000.00
0.548685;0.659731;371957000.00
0.553685;0.694068;373191000.00
0.558685;0.730273;374443000.00
0.563685;0.768484;375716000.00
0.568685;0.808895;376917000.00
0.573685;0.851725;378109000.00
0.578685;0.897184;379322000.00
0.583685;0.945504;380557000.00
0.588685;0.996951;381817000.00
0.593685;1.05182;383106000.00
0.598685;1.11047;384427000.00
0.603685;1.17327;385784000.00
0.608685;1.24068;387182000.00
0.613685;1.31323;388626000.00
0.618685;1.3915;390121000.00
0.623685;1.4762;391676000.00
0.628685;1.56814;393298000.00
0.633685;1.66826;394995000.00
0.638685;1.77767;396780000.00
0.643685;1.89764;398662000.00
0.648685;2.02982;400382000.00
0.653685;2.17599;402174000.00
0.658685;2.33795;404051000.00
0.663685;2.51721;406003000.00
0.668685;2.7146;408007000.00
0.673685;2.92955;410019000.00
0.678685;3.15926;411970000.00
0.683685;3.3987;413793000.00
0.688685;3.6419;415445000.00
0.693685;3.88362;416923000.00
0.698685;4.12055;418250000.00
0.703685;4.35116;419453000.00
0.708685;4.57512;420558000.00
0.713685;4.79271;421582000.00
0.718685;5.0045;422540000.00
0.723685;5.21115;423448000.00
0.728685;5.41333;424344000.00
0.733685;5.61163;425229000.00
0.738685;5.80661;426107000.00
0.743685;5.99876;426977000.00
0.748685;6.18849;427842000.00
0.753685;6.37617;428702000.00
0.758685;6.5621;429558000.00
0.763685;6.74653;430410000.00
0.768685;6.92968;431259000.00
0.773685;7.11175;432105000.00
0.778685;7.29286;432949000.00
0.783685;7.47308;433789000.00
0.788685;7.65242;434624000.00
0.793685;7.83091;435456000.00
0.798685;8.00861;436286000.00
0.803685;8.18558;437112000.00
0.808685;8.36187;437937000.00
0.813685;8.5375;438758000.00
0.818685;8.7125;439576000.00
0.823685;8.88687;440392000.00
0.828685;9.06063;441205000.00
0.833685;9.23378;442015000.00
0.838685;9.40632;442822000.00
0.843685;9.57824;443626000.00
0.848685;9.74953;444426000.00
0.853685;9.92018;445224000.00
0.858685;10.0902;446018000.00
0.863685;10.2595;446808000.00
0.868685;10.4281;447595000.00
0.873685;10.5961;448379000.00
0.878685;10.7633;449159000.00
0.883685;10.9298;449935000.00
0.888685;11.0955;450707000.00
0.893685;11.2604;451475000.00
0.898685;11.4246;452239000.00
0.903685;11.588;453000000.00
0.908685;11.7506;453756000.00
0.913685;11.9124;454509000.00
0.918685;12.0734;455257000.00
0.923685;12.2336;456002000.00
0.928685;12.3929;456742000.00
0.933685;12.5514;457478000.00
0.938685;12.709;458210000.00
0.943685;12.8658;458938000.00
0.948685;13.0217;459662000.00
0.953685;13.1768;460382000.00
0.958685;13.331;461097000.00
0.963685;13.4844;461809000.00
0.968685;13.6369;462517000.00
0.973685;13.7886;463220000.00
0.978685;13.9395;463920000.00
0.983685;14.0895;464615000.00
0.988685;14.2386;465307000.00
0.993685;14.3869;465994000.00
0.998685;14.5344;466678000.00
1.00368;14.681;467357000.00
1.00868;14.8267;468032000.00
1.01368;14.9716;468703000.00
1.0141;14.9836;468758000.00
