Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;168.834;1.166017282;-2.99478;0.931816222;0.00138646;1.61967E-05;0.282004612;138.3409621;0.002241695;147.3378462
0.0002;337.669;2.332041471;-5.98951;1.863616888;0.002772921;3.23936E-05;7.18E-01;1.46E+02;2.86E-03;1.66E+02
0.0003;506.504;3.49806566;-8.98421;2.795408218;0.004159381;4.85908E-05;1.40E+00;1.50E+02;3.49E-03;1.74E+02
0.0004;675.34;4.664096755;-11.9789;3.727196438;0.005545842;6.47885E-05;2.21E+00;1.54E+02;5.29E-03;1.82E+02
0.0005;844.176;5.830127849;-14.9735;4.658956654;0.006932274;8.09862E-05;3.58E+00;1.58E+02;7.90E-03;1.85E+02
0.0006;1013.01;6.996145132;-17.968;5.590685755;0.008318774;9.71844E-05;4.76E+00;1.59E+02;1.16E-02;1.89E+02
0.0007;1181.85;8.162203852;-20.9625;6.522414856;0.009705218;0.000113383;5.51E+00;1.60E+02;1.42E-02;1.91E+02
0.0008;1350.69;9.328262572;-23.957;7.454143958;0.011091661;0.000129581;6.13E+00;1.60E+02;1.67E-02;1.93E+02
0.0009;1519.53;10.49432129;-26.9514;8.385841944;0.012478161;0.00014578;6.94E+00;1.59E+02;1.92E-02;1.95E+02
0.001;1688.36;11.66031095;-29.9458;9.317539931;0.013864605;0.000161979;7.56E+00;1.58E+02;2.17E-02;1.96E+02
0.0011;1857.2;12.82636967;-32.9401;10.2492068;0.015251048;0.000178178;8.12E+00;1.54E+02;2.49E-02;1.98E+02
0.0012;2026.04;13.99242839;-35.9344;11.18087367;0.016637548;0.000194378;8.43E+00;1.50E+02;2.85E-02;1.99E+02
0.0013;2194.88;15.15848711;-38.9287;12.11254055;0.018023992;0.000210578;8.65E+00;1.46E+02;3.23E-02;2.00E+02
0.0014;2363.72;16.32454583;-41.9229;13.0441763;0.019410492;0.000226779;;;3.45E-02;2.00E+02
0.0015;2532.56;17.49060455;-44.9171;13.97581206;0.020796936;0.000242979;;;3.80E-02;2.01E+02
0.0016;2701.41;18.65673233;-47.9112;14.9074167;0.022183379;0.00025918;;;4.09E-02;2.01E+02
0.0017;2870.25;19.82279105;-50.9053;15.83902135;0.023569879;0.000275381;;;4.51E-02;2.02E+02
0.0018;3039.09;20.98884977;-53.8993;16.77059487;0.024956323;0.000291582;;;4.76E-02;2.01E+02
0.0019;3207.93;22.15490849;-56.8933;17.7021684;0.026342823;0.000307784;;;5.04E-02;2.00E+02
0.002;3376.78;23.32103628;-59.8872;18.63371082;0.027729267;0.000323986;;;5.38E-02;2.00E+02
0.0021;3545.62;24.487095;-62.8811;19.56525323;0.02911571;0.000340188;;;5.61E-02;1.97E+02
