Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;94.5471;0.652970092;-8.38544;2.609102847;0.003882087;9.07E-06;2.79E-01;1.46E+02;5.56E-04;3.26E+01
0.0002;189.096;1.305952616;-16.7708;5.218180802;0.007764151;1.81E-05;3.41E-01;1.56E+02;6.80E-04;3.89E+01
0.0003;283.645;1.958935831;-25.1561;7.827240089;0.011646284;2.72E-05;5.57E-01;1.64E+02;1.11E-03;4.14E+01
0.0004;378.196;2.611932858;-33.5413;10.43626826;0.015528359;3.63E-05;1.08E+00;1.70E+02;1.98E-03;4.29E+01
0.0005;472.749;3.264943697;-41.9265;13.04529643;0.019410435;4.54E-05;1.80E+00;1.75E+02;4.33E-03;4.51E+01
0.0006;567.303;3.917961443;-50.3116;15.65429349;0.023292511;5.45E-05;2.60E+00;1.79E+02;7.05E-03;4.62E+01
0.0007;661.858;4.570986096;-58.6966;18.26325943;0.027174586;6.36E-05;3.65E+00;1.83E+02;9.40E-03;4.66E+01
0.0008;756.414;5.224017654;-67.0815;20.87219426;0.031056719;7.26E-05;5.33E+00;1.86E+02;1.25E-02;4.69E+01
0.0009;850.972;5.877063025;-75.4664;23.48112909;0.034938794;8.17E-05;7.31E+00;1.88E+02;1.51E-02;4.69E+01
0.001;945.531;6.530115303;-83.8512;26.0900328;0.03882087;9.08E-05;8.61E+00;1.88E+02;1.76E-02;4.69E+01
0.0011;1040.09;7.18316758;-92.236;28.69893651;0.042703003;9.99E-05;1.02E+01;1.89E+02;2.30E-02;4.73E+01
0.0012;1134.65;7.836226764;-100.621;31.30790246;0.046585078;0.000109032;1.22E+01;1.89E+02;2.62E-02;4.77E+01
0.0013;1229.22;8.48935501;-109.005;33.91655725;0.050467154;0.000118136;1.41E+01;1.90E+02;2.94E-02;4.73E+01
0.0014;1323.78;9.142414194;-117.39;36.5255232;0.054349287;0.000127243;1.65E+01;1.90E+02;3.18E-02;4.73E+01
0.0015;1418.35;9.795542441;-125.774;39.13417799;0.05823142;0.000136354;2.00E+01;1.90E+02;3.55E-02;4.73E+01
0.0016;1512.91;10.44860162;-134.159;41.74314393;0.062113209;0.000145467;2.16E+01;1.91E+02;3.85E-02;4.73E+01
0.0017;1607.48;11.10172987;-142.543;44.35179873;0.065995571;0.000154583;2.32E+01;1.91E+02;;
0.0018;1702.05;11.75485812;-150.927;46.96045352;0.06987736;0.000163702;2.48E+01;1.90E+02;;
0.0019;1796.62;12.40798636;-159.311;49.56910832;0.073759722;0.000172824;2.65E+01;1.90E+02;;
0.002;1891.2;13.06118367;-167.695;52.17776312;0.077642084;0.000181949;2.88E+01;1.90E+02;;
0.0021;1985.77;13.71431192;-176.079;54.78641791;0.081523873;0.000191076;3.10E+01;1.90E+02;;
0.0022;2080.35;14.36750923;-184.463;57.39507271;0.085406235;0.000200207;3.28E+01;1.90E+02;;
0.0023;2174.92;15.02063748;-192.847;60.0037275;0.089288024;0.00020934;3.54E+01;1.90E+02;;
0.0024;2269.5;15.67383479;-201.231;62.6123823;0.093170386;0.000218477;3.60E+01;1.90E+02;;
0.0025;2364.08;16.3270321;-209.615;65.22103709;0.097052175;0.000227616;3.65E+01;1.90E+02;;
0.0026;2458.66;16.98022941;-217.998;67.82938074;0.100934537;0.000236758;3.66E+01;1.86E+02;;
0.0027;2553.24;17.63342671;-226.382;70.43803554;0.104816326;0.000245902;3.66E+01;1.82E+02;;
0.0028;2647.83;18.28669309;-234.765;73.04637919;0.108698688;0.00025505;;;;
0.0029;2742.41;18.9398904;-243.149;75.65503398;0.11258105;0.000264201;;;;
0.003;2837;19.59315677;-251.532;78.26337763;0.116462839;0.000273354;;;;
0.0031;2931.59;20.24642314;-259.915;80.87172128;0.120345201;0.00028251;;;;
0.0032;3026.17;20.89962045;-268.299;83.48037608;0.12422699;0.000291669;;;;
0.0033;3120.77;21.55295589;-276.682;86.08871973;0.128109352;0.000300832;;;;
0.0034;3215.36;22.20622226;-285.065;88.69706338;0.131991141;0.000309997;;;;
0.0035;3309.95;22.85948863;-293.448;91.30540702;0.135873503;0.000319164;;;;
0.0036;3404.54;23.512755;-301.831;93.91375067;0.139755292;0.000328335;;;;
0.0037;3499.14;24.16609044;-310.214;96.52209432;0.143637654;0.000337509;;;;
0.0038;3593.74;24.81942588;-318.596;99.13012682;0.147520016;0.000346685;;;;
0.0039;3688.34;25.47276131;-326.979;101.7384705;0.151401806;0.000355864;;;;
0.004;3782.94;26.12609675;-335.362;104.3468141;0.155284168;0.000365046;;;;
0.0041;3877.54;26.77943218;-343.744;106.9548466;0.159165957;0.000374232;;;;
0.0042;3972.14;27.43276762;-352.127;109.5631903;0.163048319;0.000383419;;;;
0.0043;4066.74;28.08610305;-360.509;112.1712228;0.166930108;0.00039261;;;;
0.0044;4161.35;28.73950755;-368.891;114.7792553;0.17081247;0.000401804;;;;
0.0045;4255.96;29.39291205;-377.273;117.3872878;0.174694832;0.000411;;;;
0.0046;4350.56;30.04624748;-385.656;119.9956314;0.178576621;0.0004202;;;;
0.0047;4445.17;30.69965198;-394.038;122.6036639;0.182458983;0.000429402;;;;
0.0048;4539.79;31.35312554;-402.42;125.2116964;0.186340772;0.000438607;;;;
0.0049;4634.4;32.00653004;-410.802;127.8197289;0.190223134;0.000447815;;;;
0.005;4729.01;32.65993454;-419.183;130.4274503;0.194104923;0.000457026;;;;
0.0051;4823.63;33.3134081;-427.565;133.0354828;0.197987285;0.00046624;;;;
0.0052;4918.24;33.9668126;-435.947;135.6435153;0.201869647;0.000475457;;;;
0.0053;5012.86;34.62028616;-444.328;138.2512366;0.205751436;0.000484676;;;;
0.0054;5107.48;35.27375972;-452.71;140.8592692;0.209633798;0.000493898;;;;
0.0055;5202.1;35.92723329;-461.091;143.4669905;0.213515587;0.000503124;;;;
0.0056;5296.72;36.58070685;-469.457;146.0700447;0.217397949;0.000512379;;;;
0.0057;5391.34;37.23418041;-477.785;148.6612752;0.221280884;0.000521699;;;;
0.0058;5485.95;37.88758491;-486.043;151.2307255;0.225164965;0.000531128;;;;
0.0059;5580.56;38.5409894;-494.17;153.7594156;0.229051338;0.000540736;;;;
0.006;5675.18;39.19446297;-501.867;156.1543125;0.232944013;0.000550786;;;;
0.0061;5769.93;39.84883435;-507.979;158.0560418;0.236860753;0.000562072;;;;
0.0061;5769.93;39.84883435;-507.979;158.0560418;0.236860753;0.000562072;;;;
0.00619125;5810.16;40.12667456;-511.789;159.2415111;0.240462365;0.000569406;;;;
0.00685887;5861.29;40.47979339;-516.001;160.5520615;0.267174231;0.000619051;;;;
0.0106849;5977.66;41.28347885;-527.785;164.2186154;0.420445597;0.000893625;;;;
0.0156849;6152.91;42.49380691;-542.579;168.8217212;0.620753934;0.001253683;;;;
0.0206849;6304.42;43.54017956;-554.015;172.379996;0.821117275;0.001614027;;;;
0.0256849;6384.56;44.09364998;-560.714;174.4643685;1.021549371;0.001971368;;;;
0.0306849;6461.5;44.62502026;-567.236;176.4936679;1.221981467;0.002327991;;;;
0.0356849;6519.75;45.0273119;-571.781;177.9078301;1.422447941;0.002684208;;;;
0.0406849;6570;45.37435318;-576.055;179.2376716;1.622920143;0.003039357;;;;
0.0456849;6616.25;45.69376929;-579.806;180.4047832;1.823398076;0.003394164;;;;
0.0506849;6653.52;45.95116688;-582.968;181.3886294;2.023887468;0.003748158;;;;
0.0556849;6689.92;46.20255599;-586.034;182.3426055;2.22437113;0.004101683;;;;
0.0606849;6720.64;46.41471735;-588.572;183.1322961;2.424871981;0.004454731;;;;
0.0656849;6749.49;46.61396393;-591.026;183.8958503;2.625367102;0.004807188;;;;
0.0706849;6776.35;46.799467;-593.241;184.5850405;2.825867953;0.005159271;;;;
0.0756849;6800.11;46.96356055;-595.254;185.211379;3.026374533;0.005510789;;;;
0.0806849;6823.29;47.12364845;-597.195;185.815315;3.226881113;0.005861887;;;;
0.0856849;6843.87;47.26577999;-598.914;186.3501763;3.427387694;0.006212529;;;;
0.0906849;6863.65;47.40238649;-600.585;186.8701026;3.627900004;0.006562738;;;;
0.0956849;6882.11;47.52987668;-602.116;187.3464684;3.828412314;0.006912497;;;;
0.100685;6899.24;47.6481815;-603.557;187.7948309;4.028924624;0.007261875;;;;
0.105685;6915.76;47.76227348;-604.934;188.2232801;4.229436934;0.007610808;;;;
0.110685;6930.99;47.86745634;-606.204;188.6184365;4.429954973;0.00795936;;;;
0.115685;6945.67;47.96884074;-607.431;189.0002136;4.630467283;0.008307468;;;;
0.120685;6959.46;48.06407854;-608.576;189.3564767;4.830985323;0.008655258;;;;
0.125685;6972.57;48.15462005;-609.669;189.6965602;5.031509092;0.009002604;;;;
0.130685;6985.09;48.24108686;-610.707;190.0195306;5.232027132;0.009349632;;;;
0.135685;6996.97;48.32313363;-611.693;190.3263213;5.432545171;0.009696279;;;;
0.140685;7008.34;48.4016582;-612.634;190.6191105;5.63306894;0.010042545;;;;
0.145685;7019.16;48.4763843;-613.53;190.897898;5.833569791;0.010388494;;;;
0.150685;7029.54;48.54807164;-614.386;191.1642397;6.034105019;0.010734061;;;;
0.155685;7039.43;48.61637489;-615.203;191.4184466;6.234640248;0.011079312;;;;
0.160685;7048.97;48.68226093;-615.987;191.6623857;6.435175476;0.011424244;;;;
0.165685;7058.06;48.74503915;-616.733;191.8945012;6.635653409;0.011768796;;;;
0.170685;7066.82;48.80553829;-617.452;192.1182158;6.836188637;0.012113094;;;;
0.175685;7075.2;48.86341303;-618.138;192.3316625;7.036723865;0.01245701;;;;
0.180685;7083.25;48.9190087;-618.798;192.5370194;7.237259093;0.012800673;;;;
0.185685;7091.03;48.97273967;-619.432;192.7342864;7.437794322;0.013144018;;;;
0.190685;7098.48;49.02419156;-620.038;192.9228414;7.63832955;0.013487109;;;;
0.195685;7105.68;49.07391688;-620.623;193.1048623;7.838807483;0.01382982;;;;
0.200685;7112.58;49.12157031;-621.183;193.2791045;8.039342711;0.014172339;;;;
0.205685;7119.24;49.16756623;-621.723;193.4471238;8.239877939;0.014514478;;;;
0.210685;7125.67;49.2119737;-622.242;193.6086089;8.440413167;0.014856426;;;;
0.215685;7131.87;49.25479273;-622.742;193.7641823;8.640948396;0.015198057;;;;
0.220685;7137.85;49.29609237;-623.223;193.913844;8.841483624;0.015539434;;;;
0.225685;7143.62;49.33594169;-623.686;194.0579049;9.042018852;0.015880556;;;;
0.230685;7149.19;49.37440974;-624.131;194.1963653;9.242554081;0.016221425;;;;
0.235685;7154.56;49.41149654;-624.561;194.3301584;9.443032013;0.01656204;;;;
0.240685;7159.76;49.44740927;-624.975;194.4589732;9.643567241;0.0169024;;;;
0.245685;7164.77;49.48200981;-625.374;194.5831207;9.84410247;0.017242507;;;;
0.250685;7169.63;49.5155744;-625.759;194.7029123;10.0446377;0.017582423;;;;
0.255685;7174.31;49.54789586;-626.129;194.8180366;10.24517293;0.017922022;;;;
0.260685;7178.85;49.57925043;-626.487;194.9294271;10.44570815;0.018261494;;;;
0.265685;7183.23;49.6095;-626.831;195.0364616;10.64624338;0.018600648;;;;
0.270685;7187.45;49.63864456;-627.162;195.1394512;10.84677861;0.018939611;;;;
0.275685;7191.54;49.66689131;-627.482;195.2390182;11.04731384;0.019278385;;;;
0.280685;7195.49;49.69417117;-627.79;195.3348514;11.24784907;0.019616904;;;;
0.285685;7199.31;49.72055321;-628.086;195.4269509;11.448327;0.019955232;;;;
0.290685;7203;49.74603744;-628.372;195.5159388;11.64886223;0.020293371;;;;
0.295685;7206.56;49.77062384;-628.646;195.6011931;11.84939746;0.020631255;;;;
0.300685;7210;49.7943815;-628.91;195.6833358;12.04993269;0.020969012;;;;
0.305685;7213.32;49.81731039;-629.164;195.7623671;12.25046791;0.021306515;;;;
0.310685;7216.51;49.83934147;-629.406;195.8376646;12.45100314;0.021643828;;;;
0.315685;7219.59;49.86061286;-629.639;195.9101618;12.65153837;0.02198095;;;;
0.320685;7222.55;49.88105549;-629.863;195.9798587;12.8520736;0.022317882;;;;
0.325685;7225.41;49.90080749;-630.077;196.0464441;13.05260883;0.022654623;;;;
0.330685;7228.18;49.91993793;-630.283;196.1105404;13.25314405;0.022991173;;;;
0.335685;7230.84;49.93830867;-630.481;196.1721475;13.45367928;0.023327597;;;;
0.340685;7233.41;49.95605785;-630.67;196.2309542;13.65421451;0.023663767;;;;
0.345685;7235.88;49.97311639;-630.852;196.2875829;13.85474974;0.023999809;;;;
0.350685;7238.27;49.98962244;-631.026;196.3417225;14.05528497;0.024335662;;;;
0.355685;7240.57;50.00550691;-631.192;196.3933728;14.2558202;0.024671387;;;;
0.360685;7242.78;50.02076982;-631.352;196.4431563;14.45635542;0.025006858;;;;
0.365685;7244.91;50.03548023;-631.504;196.4904506;14.65689065;0.025342202;;;;
0.370685;7246.96;50.04963813;-631.649;196.5355669;14.85742588;0.025677419;;;;
0.375685;7248.93;50.06324353;-631.788;196.5788163;15.05790381;0.026012446;;;;
0.380685;7250.83;50.07636549;-631.92;196.6198877;15.25843904;0.026347282;;;;
0.385685;7252.65;50.08893495;-632.046;196.6590922;15.45897427;0.026681991;;;;
0.390685;7254.39;50.1009519;-632.165;196.6961187;15.6595095;0.027016574;;;;
0.395685;7256.06;50.11248541;-632.278;196.7312783;15.86004473;0.027350965;;;;
0.400685;7257.67;50.12360454;-632.386;196.7648821;16.06057996;0.02768523;;;;
0.405685;7259.2;50.13417117;-632.487;196.7963079;16.26111518;0.028019304;;;;
0.410685;7260.67;50.14432343;-632.583;196.826178;16.46165041;0.028353251;;;;
0.415685;7262.07;50.15399224;-632.673;196.8541812;16.66218564;0.028687071;;;;
0.420685;7263.41;50.16324667;-632.758;196.8806287;16.86272087;0.029020701;;;;
0.425685;7264.68;50.17201767;-632.837;196.9052093;17.0632561;0.029354204;;;;
0.430685;7265.9;50.18044335;-632.911;196.9282342;17.26379133;0.029687579;;;;
0.435685;7267.04;50.18831652;-632.98;196.9497033;17.46432655;0.030020828;;;;
0.440685;7268.13;50.19584438;-633.043;196.9693056;17.66486178;0.030353886;;;;
0.445685;7269.16;50.20295786;-633.102;196.9876632;17.86539701;0.030686881;;;;
0.450685;7270.13;50.20965697;-633.155;197.004154;18.06593224;0.031019685;;;;
0.455685;7271.04;50.2159417;-633.204;197.0194002;18.26646747;0.031352362;;;;
0.460685;7271.9;50.22188111;-633.248;197.0330907;18.46700269;0.031684849;;;;
0.465685;7272.7;50.22740615;-633.287;197.0452254;18.66753792;0.032017272;;;;
0.470685;7273.45;50.23258587;-633.322;197.0561155;18.86807315;0.032349568;;;;
0.475685;7274.14;50.23735121;-633.351;197.0651388;19.06860838;0.032681674;;;;
0.480685;7274.77;50.24170218;-633.376;197.0729174;19.26914361;0.033013716;;;;
0.485685;7275.36;50.24577689;-633.397;197.0794515;19.46967884;0.033345568;;;;
0.490685;7275.89;50.24943722;-633.413;197.0844299;19.67021406;0.033677356;;;;
0.495685;7276.36;50.25268318;-633.424;197.0878525;19.87074929;0.034008954;;;;
0.500685;7276.79;50.25565289;-633.431;197.0900305;20.07128452;0.034340424;;;;
0.505685;7277.16;50.25820822;-633.434;197.090964;20.27181975;0.034671831;;;;
0.510685;7277.48;50.26041823;-633.432;197.0903417;20.47235498;0.035003048;;;;
0.515685;7277.75;50.26228293;-633.426;197.0884748;20.67289021;0.035334138;;;;
0.520685;7277.97;50.26380232;-633.416;197.0853633;20.87342543;0.0356651;;;;
0.525685;7278.13;50.26490732;-633.401;197.0806961;21.07396066;0.035995936;;;;
0.530685;7278.25;50.26573608;-633.381;197.0744732;21.27449589;0.036326645;;;;
0.535685;7278.31;50.26615046;-633.357;197.0670057;21.47503112;0.036657226;;;;
0.540685;7278.31;50.26615046;-633.328;197.0579824;21.67556635;0.036987681;;;;
0.545685;7278.24;50.26566702;-633.292;197.0467811;21.87610158;0.037318009;;;;
0.550685;7278.1;50.26470013;-633.251;197.0340241;22.0766368;0.037648146;;;;
0.555685;7277.91;50.26338794;-633.205;197.0197113;22.27717203;0.037978219;;;;
0.560685;7277.64;50.26152324;-633.153;197.0035317;22.47770726;0.038308103;;;;
0.565685;7277.32;50.25931323;-633.095;196.9854852;22.67824249;0.038637859;;;;
0.570685;7276.93;50.25661977;-633.032;196.9658829;22.87877772;0.038967488;;;;
0.575685;7276.48;50.25351194;-632.964;196.944725;23.07931295;0.039296927;;;;
0.580685;7275.96;50.24992067;-632.889;196.921389;23.27984817;0.039626238;;;;
0.585685;7275.37;50.24584595;-632.809;196.8964972;23.4803834;0.039955359;;;;
0.590685;7274.71;50.2412878;-632.722;196.8694274;23.68091863;0.040284354;;;;
0.595685;7273.98;50.2362462;-632.63;196.8408019;23.88145386;0.040613157;;;;
0.600685;7273.17;50.2306521;-632.53;196.8096873;24.08198909;0.040941834;;;;
0.605685;7272.28;50.2245055;-632.424;196.7767057;24.28252432;0.041270257;;;;
0.610685;7271.31;50.2178064;-632.31;196.741235;24.48305954;0.041598552;;;;
0.615685;7270.24;50.21041666;-632.188;196.703275;24.68359477;0.041926657;;;;
0.620685;7269;50.20185286;-632.048;196.6597145;24.88413;0.042254509;;;;
0.625685;7267.53;50.1917006;-631.889;196.6102422;25.08466523;0.042582106;;;;
0.630685;7265.84;50.18002897;-631.713;196.5554803;25.28525775;0.042909449;;;;
0.635685;7263.95;50.16697607;-631.518;196.4948067;25.48579298;0.043236411;;;;
0.640685;7261.82;50.15226566;-631.303;196.4279101;25.68632821;0.043563056;;;;
0.645685;7259.43;50.13575962;-631.066;196.3541683;25.88686344;0.043889192;;;;
0.650685;7256.74;50.11718169;-630.804;196.2726479;26.08739867;0.044214821;;;;
0.655685;7253.7;50.09618656;-630.514;196.1824153;26.28793389;0.044539878;;;;
0.660685;7250.25;50.07235984;-630.19;196.0816037;26.48846912;0.044864173;;;;
0.665685;7246.32;50.0452181;-629.827;195.9686574;26.68900435;0.045187643;;;;
0.670685;7241.85;50.01434697;-629.419;195.8417095;26.88953958;0.04551016;;;;
0.675685;7236.75;49.97912487;-628.958;195.6982709;27.09007481;0.045831471;;;;
0.680685;7230.95;49.93906836;-628.44;195.5370968;27.29061004;0.046151321;;;;
0.685685;7224.38;49.89369401;-627.853;195.3544537;27.49120256;0.046469393;;;;
0.690685;7216.41;49.83865084;-627.124;195.1276276;27.69173779;0.046784989;;;;
0.695685;7206.46;49.76993322;-626.226;194.8482178;27.89227302;0.047096838;;;;
0.700685;7194.62;49.68816269;-625.164;194.5177799;28.09280824;0.04740348;;;;
0.705685;7180.81;49.59278677;-623.926;194.1325802;28.29340077;0.047703454;;;;
0.710685;7164.92;49.48304575;-622.508;193.691374;28.493936;0.047995237;;;;
0.715685;7147.35;49.36170216;-620.94;193.2034958;28.69447123;0.048277115;;;;
0.720685;7128.17;49.22923944;-619.241;192.6748574;28.89506375;0.048547498;;;;
