Time [s];RF Mag [N];RM2 [Nm];Sigma [MPa];Extension [-];Tau [MPa];Actual angle [deg];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0.627505;41092.8;-298.22;283.7989681;0.072246634;92.79019957;3.590783798;;;;
0.632505;40926.1;-297.001;282.6476888;0.072767971;92.41091162;3.619448876;;;;
0.637505;40752.7;-295.733;281.4501374;0.073288672;92.01637747;3.648119684;;;;
0.642505;40572.6;-294.416;280.2063138;0.073806833;91.60659713;3.676784763;;;;
0.647505;40385.9;-293.051;278.9169087;0.074323724;91.18188174;3.705455571;;;;
0.652505;40192.4;-291.638;277.5805408;0.07483871;90.74223131;3.734126379;;;;
0.657505;39992.3;-290.176;276.1985913;0.075351156;90.28733469;3.762797187;;;;
0.662505;39785.5;-288.664;274.7703696;0.075862332;89.81688072;3.791467995;;;;
0.667505;39571.9;-287.104;273.2951852;0.076370968;89.33149171;3.820138803;;;;
0.672505;39351.5;-285.494;271.7730379;0.076877064;88.83054535;3.848809611;;;;
0.677505;39124.3;-283.834;270.2039279;0.077381255;88.31404166;3.877486149;;;;
0.682505;38890.3;-282.125;268.587855;0.077882906;87.78229177;3.906156957;;;;
0.687505;38649.4;-280.365;266.9241287;0.078382017;87.2346734;3.934833495;;;;
0.692505;38401.5;-278.555;265.2120584;0.078877953;86.67149769;3.963510032;;;;
0.697505;38146.8;-276.695;263.4530253;0.079371349;86.09276463;3.99218657;;;;
0.702505;37884.9;-274.783;261.6442668;0.079862205;85.49785195;4.020863108;;;;
0.707505;37616.1;-272.819;259.7878549;0.080349886;84.88675963;4.049539645;;;;
0.712505;37339.9;-270.803;257.8803364;0.080834392;84.25948767;4.078221912;;;;
0.717505;37056.6;-268.735;255.9237833;0.081315723;83.61603608;4.10689845;;;;
0.722505;36766;-266.613;253.9168142;0.081793244;82.95578257;4.135580717;;;;
0.727505;36468.1;-264.437;251.8594291;0.08226759;82.27872712;4.164262985;;;;
0.732505;36162.6;-262.208;249.7495562;0.08273876;81.5851809;4.192945252;;;;
0.737505;35849.7;-259.923;247.5885767;0.083206121;80.87421046;4.221627519;;;;
0.742505;35529.1;-257.583;245.3744188;0.083669672;80.14612694;4.250309786;;;;
0.747505;35200.7;-255.186;243.1063918;0.084129413;79.40030805;4.278992053;;;;
0.752505;34864.6;-252.732;240.7851863;0.084584709;78.6367538;4.30768005;;;;
