Time [s],RF Mag [N],Sigma [MPa],RM2 [Nm],Tau [MPa],Actual angle [deg],Extension [-],Paper angle [deg],Paper Tau [MPa],Paper extension [-],Paper Sigma [MPa]
0,0,0,0,0,0,0,0,0,0,0
0.0001,121.561,0.839536035,-1.79688,0.559093467,0.000831877,1.17E-05,0.398010138,134.3609334,0.001818717,125.7094734
0.0002,243.121,1.679065163,-3.59373,1.1181776,0.001663749,2.33E-05,0.596864616,137.2372932,0.001944309,130.205798
0.0003,364.682,2.518601197,-5.39057,1.677258621,0.002495627,3.50E-05,0.895146334,139.5783349,0.002038503,138.9813834
0.0004,486.244,3.358144138,-7.18739,2.23633342,0.003327504,4.66E-05,1.224826127,141.5983658,0.002164095,148.0732619
0.0005,607.805,4.197680173,-8.98418,2.795398884,0.004159381,5.83E-05,1.55450592,143.475828,0.002289688,154.34641
0.0006,729.367,5.037223114,-10.781,3.354473682,0.004991253,7.00E-05,1.899884751,145.0496375,0.00241528,161.7420888
0.0007,850.929,5.876766054,-12.5777,3.913511143,0.005823142,8.16E-05,2.245263582,146.4845815,0.002509474,168.440062
0.0008,972.491,6.716308995,-14.3745,4.472579719,0.006655019,9.33E-05,2.590642413,147.7065983,0.00323791,192.6271876
0.0009,1094.05,7.555831217,-16.1712,5.031617179,0.007486897,0.000104957,2.936021245,148.6045955,0.003733999,196.0071834
0.001,1215.62,8.395429409,-17.9679,5.59065464,0.008318774,0.00011662,3.281400076,149.2156039,0.004267766,200.0524661
0.0011,1337.18,9.234958537,-19.7646,6.149692101,0.009150652,0.000128282,3.626778907,149.7340353,0.004958524,203.3168823
0.0012,1458.74,10.07448767,-21.5612,6.708698447,0.009982529,0.000139945,3.972157738,150.1413742,0.005649282,205.7186808
0.0013,1580.31,10.91408586,-23.3579,7.267735908,0.010814406,0.000151607,4.317536569,150.3450437,0.006352599,206.9534082
0.0014,1701.87,11.75361498,-25.1545,7.826742254,0.011646284,0.00016327,4.631517324,150.4941956,0.007156389,208.2219638
0.0015,1823.43,12.59314411,-26.9511,8.3857486,0.012478161,0.000174933,5.51066344,150.5394555,0.007847147,209.422863
0.0016,1945,13.4327423,-28.7477,8.944754946,0.013310039,0.000186596,5.856042271,150.2987552,0.008537905,210.0148556
0.0017,2066.56,14.27227143,-30.5443,9.503761293,0.014141916,0.000198259,6.201421102,149.5025927,0.009228662,210.5053637
0.0018,2188.13,15.11186962,-32.3408,10.06273652,0.014973794,0.000209922,6.546799933,147.8917524,0.00991942,211.3679815
0.0019,2309.69,15.95139875,-34.1374,10.62174287,0.015805671,0.000221585,6.829382613,145.6368404,0.010610178,212.2475133
0.002,2431.26,16.79099694,-35.9339,11.1807181,0.016637548,0.000233248,7.017771066,143.3295562,0.011324484,212.8141348
0.0021,2552.82,17.63052607,-37.7304,11.73969333,0.017469426,0.000244912,7.159062406,141.1452012,0.012004252,213.5397486
0.0022,2674.39,18.47012426,-39.5269,12.29866856,0.018301303,0.000256575,7.284654708,138.8793783,0.012682451,214.1757178
0.0023,2795.95,19.30965339,-41.3233,12.85761268,0.019133181,0.000268239,7.378848935,137.0972705,0.013260175,214.7304994
0.0024,2917.52,20.14925158,-43.1198,13.41658791,0.019965058,0.000279902,,,0.014063966,215.3089607
0.0025,3039.08,20.98878071,-44.9162,13.97553203,0.020796936,0.000291565,,,0.014754724,215.9516955
0.0026,3160.65,21.8283789,-46.7126,14.53447615,0.021628813,0.000303229,,,0.015458041,216.5910475
0.0027,3282.22,22.66797709,-48.5089,15.09338915,0.02246069,0.000314893,,,0.016136239,216.9157977
0.0028,3403.78,23.50750622,-50.3053,15.65233327,0.023292568,0.000326557,,,0.016826997,217.5923607
0.0029,3525.35,24.34710441,-52.1017,16.21127738,0.024124445,0.000338221,,,0.017517754,218.3365799
0.003,3646.92,25.1867026,-53.898,16.77019038,0.024956323,0.000349885,,,0.018192813,218.8376594
0.0031,3768.49,26.02630079,-55.6943,17.32910339,0.0257882,0.000361549,,,0.018850428,219.0883165
0.0032,3890.05,26.86582992,-57.4906,17.88801639,0.026620135,0.000373214,,,0.019590027,219.8250184
0.0033,4011.62,27.70542811,-59.2868,18.44689828,0.027452012,0.000384878,,,0.020280785,220.1125577
0.0034,4133.19,28.54502631,-61.0831,19.00581128,0.02828389,0.000396542,,,0.020971543,220.3493547
0.0035,4254.76,29.3846245,-62.8793,19.56469317,0.029115767,0.000408207,,,0.0216623,220.9582614
0.0036,4376.33,30.22422269,-64.6755,20.12357505,0.029947645,0.000419871,,,0.022353058,221.2796288
0.0037,4497.9,31.06382088,-66.4717,20.68245694,0.030779522,0.000431536,,,0.023096146,221.7447658
0.0038,4619.47,31.90341907,-68.2679,21.24133883,0.031611399,0.000443201,,,0.023734573,222.1084184
0.0039,4741.03,32.7429482,-70.064,21.8001896,0.032443277,0.000454866,,,0.024425331,222.4974421
0.004,4862.6,33.58254639,-71.8602,22.35907149,0.033275154,0.000466531,,,0.024896302,222.9076084
0.0041,4984.17,34.42214458,-73.6563,22.91792226,0.034107032,0.000478196,,,0.025932439,223.4953725
0.0042,5105.74,35.26174277,-75.4524,23.47677303,0.034938909,0.000489861,,,0.026623196,223.4108021
0.0043,5227.31,36.10134096,-77.2485,24.03562381,0.035770786,0.000501526,,,0.027313954,223.9858806
0.0044,5348.89,36.94100822,-79.0445,24.59444346,0.036602721,0.000513192,,,0.028004712,224.1550213
0.0045,5470.46,37.78060641,-80.8406,25.15329424,0.037434599,0.000524857,,,0.028695469,224.4763887
0.0046,5592.03,38.6202046,-82.6366,25.71211389,0.038266476,0.000536523,,,0.029386227,225.000725
0.0047,5713.6,39.45980279,-84.4326,26.27093355,0.039098353,0.000548188,,,0.030076985,224.6962717
0.0048,5835.17,40.29940098,-86.2286,26.82975321,0.039930231,0.000559854,,,0.030767742,225.000725
0.0049,5956.74,41.13899917,-88.0245,27.38854175,0.040762108,0.00057152,,,0.0314585,225.3418255
0.005,6078.31,41.97859736,-89.8205,27.94736141,0.041593986,0.000583186,,,0.032149258,225.7449443
0.0051,6199.89,42.81826462,-91.6164,28.50614996,0.042425863,0.000594851,,,0.032840015,225.7449443
0.0052,6321.46,43.65786281,-93.4123,29.0649385,0.043257741,0.000606518,,,0.033342384,225.8193662
0.0053,6443.03,44.497461,-95.2082,29.62372704,0.044089675,0.000618184,,,0.034347123,226.0663117
0.0054,6564.6,45.33705919,-97.004,30.18248447,0.044921553,0.00062985,,,0.035037881,226.2354524
0.0055,6686.18,46.17672645,-98.7999,30.74127301,0.04575343,0.000641516,,,0.035728638,226.5399058
0.0056,6807.75,47.01632464,-100.596,31.30012379,0.046585308,0.000653181,,,0.036413116,226.7496403
0.0057,6929.32,47.85592283,-102.392,31.85894344,0.047417185,0.000664846,,,0.037075267,226.9026187
0.0058,7050.9,48.69559008,-104.187,32.41745196,0.048249062,0.000676518,,,0.037835798,226.9232914
0.0059,7172.47,49.53518827,-105.983,32.97627161,0.049080997,0.000688183,,,0.03847911,226.8984841
0.006,7294.05,50.37485553,-107.779,33.53509127,0.049912875,0.000699848,,,0.039182426,227.0811561
0.0061,7415.62,51.21445372,-109.575,34.09391093,0.050744752,0.000711519,,,0.039873184,227.0134998
0.0062,7537.19,52.05405191,-111.37,34.65241944,0.051576629,0.000723184,,,0.040501146,226.9026187
0.0063,7658.77,52.89371916,-113.166,35.2112391,0.052408507,0.000734849,,,0.041380292,227.3179532
0.0064,7780.34,53.73331736,-114.962,35.77005876,0.053240384,0.00074652,,,0.042071049,227.3856094
0.0065,7901.92,54.57298461,-116.757,36.32856727,0.054072262,0.000758185,,,0.042761807,227.504008
0.0066,8023.5,55.41265186,-118.553,36.88738693,0.054904196,0.00076985,,,0.043295574,227.9155838
0.0067,8145.07,56.25225006,-120.349,37.44620659,0.055736074,0.000781521,,,0.044206119,227.4363517
0.0068,8266.65,57.09191731,-122.144,38.0047151,0.056567951,0.000793186,,,0.044903854,227.5434741
0.0069,8388.22,57.9315155,-123.94,38.56353475,0.057400058,0.000804858,,,0.045587634,227.6224065
0.007,8509.8,58.77118275,-125.735,39.12204327,0.058231993,0.000816523,,,0.046278392,227.8592035
0.0071,8631.38,59.61085001,-127.531,39.68086292,0.059063354,0.000828194,,,0.046885421,227.4194376
0.0072,8752.95,60.4504482,-129.326,40.23937143,0.059895289,0.000839859,,,0.047534315,227.4460169
0.0073,8874.53,61.29011545,-131.122,40.79819109,0.060727224,0.000851524,,,0.049474716,227.4008321
0.0074,8996.11,62.12978271,-132.917,41.3566996,0.061559158,0.000863195,,,0.050284786,227.4194376
0.0075,9117.69,62.96944996,-134.713,41.91551926,0.062391093,0.00087486,,,0.050881349,227.512465
0.0076,9239.26,63.80904815,-136.508,42.47402777,0.063223028,0.000886532,,,0.051553268,227.5547502
0.0077,9360.84,64.64871541,-138.304,43.03284743,0.064054963,0.000898203,,,0.05217338,227.3961807
0.0078,9482.42,65.48838266,-140.099,43.59135594,0.064886897,0.000909868,,,0.052934784,227.6562346
0.0079,9604,66.32804992,-141.895,44.1501756,0.065718832,0.000921539,,,0.053625541,227.4701798
0.008,9725.58,67.16771717,-143.69,44.70868411,0.066550767,0.000933204,,,0.054316299,227.3686954
0.0081,9847.16,68.00738442,-145.485,45.26719262,0.067382701,0.000944876,,,0.055032175,227.1961718
0.0082,9968.74,68.84705168,-147.281,45.82601228,0.068214636,0.000956547,,,0.055697814,227.0811561
0.0083,10090.3,69.68658081,-149.076,46.38452079,0.069046571,0.000968212,,,0.056388572,227.1826406
0.0084,10211.9,70.52638619,-150.871,46.9430293,0.069877933,0.000979883,,,0.057110728,226.7372366
0.0085,10333.5,71.36619157,-152.667,47.50184896,0.070709867,0.000991554,,,0.057770087,226.7936169
0.0086,10455.1,72.20599695,-154.462,48.06035747,0.071541802,0.001003219,,,0.058146864,226.3031087
0.0087,10576.6,73.0451117,-156.257,48.61886598,0.072373737,0.001014891,,,0.059151603,225.914085
0.0088,10698.2,73.88491708,-158.052,49.1773745,0.073205672,0.001026562,,,0.05984236,224.763928
0.0089,10819.8,74.72472246,-159.847,49.73588301,0.074037606,0.001038227,,,0.060533118,224.6624436
0.009,10941.4,75.56452784,-161.643,50.29470266,0.074869541,0.001049898,,,0.061223876,224.3749043
0.0091,11063,76.40433322,-163.438,50.85321118,0.075701476,0.00106157,,,0.061902074,223.7727633
0.0092,11184.5,77.24344797,-165.233,51.41171969,0.07653341,0.001073241,,,0.062605391,222.6834969
