Time [s];RF Mag [N];Sigma [MPa];Extension [-];Paper extension [-];Paper Sigma [MPa]
0.0951781;47289.5;326.5952016;0.012062992;;
0.0961781;47337.2;326.9246319;0.012189738;;
0.0971781;47384.1;327.2485371;0.012316548;;
0.0981781;47430.4;327.5682985;0.012443294;;
0.0991781;47476;327.8832255;0.012570104;;
0.100178;47521;328.1940088;0.01269685;;
0.101178;47565.3;328.4999576;0.01282366;;
0.102178;47608.9;328.801072;0.01295047;;
0.103178;47651.9;329.0980427;0.013077216;;
0.104178;47694.3;329.3908695;0.013204026;;
0.105178;47735.9;329.6781714;0.013330836;;
0.106178;47777;329.9620201;0.013457582;;
0.107178;47817.4;330.2410344;0.013584392;;
0.108178;47857.1;330.5152142;0.013711138;;
0.109178;47896.3;330.785941;0.013837948;;
0.110178;47934.9;331.0525239;0.013964757;;
0.111178;47973.1;331.3163444;0.014091504;;
0.112178;48010.7;331.576021;0.014218313;;
0.113178;48047.8;331.8322446;0.014345123;;
0.114178;48084.3;332.0843243;0.014471869;;
0.115178;48120.4;332.3336415;0.014598679;;
0.116178;48155.9;332.578815;0.014725489;;
0.117178;48190.9;332.8205353;0.014852235;;
0.118178;48225.4;333.0588024;0.014979045;;
0.119178;48259.4;333.2936164;0.015105855;;
0.120178;48292.8;333.5242867;0.015232601;;
0.121178;48325.8;333.7521944;0.015359411;;
0.122178;48358.3;333.9766489;0.01548622;;
0.123178;48390.4;334.198341;0.015612967;;
0.124178;48422.1;334.4172705;0.015739776;;
0.125178;48453.4;334.6334375;0.015866523;;
0.126178;48484.3;334.846842;0.015993332;;
0.127178;48514.7;335.0567933;0.016120142;;
0.128178;48544.7;335.2639822;0.016246888;;
0.129178;48574.4;335.4690991;0.016373698;;
0.130178;48603.8;335.6721442;0.016500508;;
0.131178;48632.9;335.8731173;0.016627254;;
0.132178;48661.7;336.0720186;0.016754064;;
0.133178;48690.3;336.2695386;0.016880874;;
0.134178;48718.6;336.4649867;0.01700762;;
0.135178;48746.7;336.6590536;0.01713443;;
0.136178;48774.5;336.8510486;0.01726124;;
0.137178;48802.1;337.0416623;0.017388049;;
0.138178;48829.4;337.2302041;0.017514859;;
0.139178;48856.5;337.4173647;0.017641605;;
0.140178;48883.3;337.6024534;0.017768415;;
0.141178;48909.8;337.7854702;0.017895225;;
0.142178;48936;337.9664151;0.018022035;;
0.143178;48962;338.1459788;0.018148844;;
0.144178;48987.7;338.3234705;0.018275654;;
0.145178;49013.2;338.499581;0.018402464;;
0.146178;49038.3;338.672929;0.018529274;;
