Time [s],RF Mag [N],Sigma [MPa],RM2 [Nm],Tau [MPa],Actual angle [deg],Extension [-],Paper extension [-],Paper Sigma [MPa],Paper angle [deg],Paper Tau [MPa]
0,0,0,0,0,0,0,0,0,0,0
0.0001,202.601,1.39922212,-1.79686,0.559087244,0.000831877,1.94E-05,0.004191344,2.35E+02,0.228050171,100.7636772
0.0002,405.203,2.798451146,-3.59369,1.118165154,0.001663749,3.89E-05,0.004738041,2.44E+02,2.74E-01,104.6053805
0.0003,607.805,4.197680173,-5.39049,1.67723373,0.002495627,5.83E-05,0.005284738,2.50E+02,5.02E-01,107.2664725
0.0004,810.407,5.596909199,-7.18726,2.236292971,0.003327504,7.77E-05,0.006013667,2.55E+02,7.75E-01,109.6324119
0.0005,1013.01,6.996145132,-8.98399,2.795339766,0.004159381,9.72E-05,0.006742597,2.58E+02,1.19E+00,111.999362
0.0006,1215.61,8.395360346,-10.7807,3.354380338,0.004991259,0.000116616,0.007562642,2.59E+02,1.60E+00,113.7753326
0.0007,1418.22,9.794644622,-12.5774,3.913417799,0.005823142,0.000136052,0.009384966,2.63E+02,1.96E+00,114.959987
0.0008,1620.82,11.19385984,-14.374,4.472424145,0.006655019,0.000155488,0.010751708,2.64E+02,2.37E+00,115.8494885
0.0009,1823.43,12.59314411,-16.1706,5.031430491,0.007486897,0.000174924,0.012209567,2.66E+02,2.83E+00,115.5573681
0.001,2026.04,13.99242839,-17.9672,5.590436837,0.008318774,0.00019436,0.013485194,2.68E+02,3.38E+00,114.9704319
0.0011,2228.64,15.3916436,-19.7637,6.149412069,0.009150652,0.000213795,0.015307517,2.70E+02,3.69E+00,112.313383
0.0012,2431.25,16.79092788,-21.5603,6.708418415,0.009982529,0.000233232,0.017494305,2.71E+02,3.92E+00,109.3601705
0.0013,2633.86,18.19021216,-23.3567,7.267362532,0.010814406,0.000252668,0.019407745,2.73E+02,4.06E+00,105.8153047
0.0014,2836.46,19.58942737,-25.1532,7.826337763,0.011646284,0.000272104,0.021321185,2.74E+02,4.20E+00,101.9749492
0.0015,3039.07,20.98871165,-26.9496,8.38528188,0.012478161,0.000291539,0.02405467,2.77E+02,,
0.0016,3241.68,22.38799592,-28.746,8.944225997,0.013310039,0.000310975,0.025694761,2.77E+02,,
0.0017,3444.29,23.7872802,-30.5423,9.503138999,0.014141916,0.000330411,0.02715262,2.78E+02,,
0.0018,3646.9,25.18656448,-32.3387,10.06208312,0.014973794,0.000349848,2.89E-02,2.79E+02,,
0.0019,3849.51,26.58584875,-34.135,10.62099612,0.015805671,0.000369284,3.08E-02,2.80E+02,,
0.002,4052.12,27.98513303,-35.9312,11.17987801,0.016637548,0.000388719,3.26E-02,2.80E+02,,
0.0021,4254.74,29.38448637,-37.7275,11.73879101,0.017469426,0.000408155,3.44E-02,2.82E+02,,
