Time [s];RF Mag [N];Sigma [MPa];RM2 [Nm];Tau [MPa];Actual angle [deg];Extension [-];Paper angle [deg];Paper Tau [MPa];Paper extension [-];Paper Sigma [MPa]
0;0;0;0;0;0;0;0;0;0;0
0.0001;101.3;0.699607607;-5.98959;1.863641779;0.002772921;9.718E-06;0.216718266;140.701207;0.000309358;30.43963191
0.0002;202.602;1.399229026;-11.9791;3.727258667;0.005545836;1.94375E-05;3.41E-01;1.56E+02;8.04E-04;5.02E+01
0.0003;303.904;2.098850446;-17.9686;5.590872443;0.008318774;2.91584E-05;7.43E-01;1.65E+02;1.11E-03;5.90E+01
0.0004;405.206;2.798471865;-23.9581;7.454486219;0.011091661;3.88807E-05;1.80E+00;1.73E+02;2.72E-03;6.38E+01
0.0005;506.51;3.498107097;-29.9474;9.318037766;0.013864605;4.86045E-05;3.10E+00;1.79E+02;4.83E-03;6.60E+01
0.0006;607.814;4.197742329;-35.9368;11.18162043;0.016637491;5.83298E-05;4.83E+00;1.82E+02;6.31E-03;6.71E+01
0.0007;709.119;4.897384468;-41.926;13.04514086;0.019410435;6.80563E-05;6.69E+00;1.84E+02;8.29E-03;6.82E+01
0.0008;810.425;5.597033512;-47.9153;14.90869241;0.022183379;7.77845E-05;8.67E+00;1.85E+02;1.04E-02;6.89E+01
0.0009;911.731;6.296682557;-53.9044;16.77218172;0.024956265;8.7514E-05;1.07E+01;1.85E+02;1.26E-02;6.93E+01
0.001;1013.04;6.996352321;-59.8936;18.63570216;0.027729209;9.72454E-05;1.24E+01;1.86E+02;1.51E-02;6.97E+01
0.0011;1114.35;7.69602899;-65.8826;20.49916036;0.030502153;0.000106977;1.36E+01;1.86E+02;1.87E-02;6.93E+01
0.0012;1215.66;8.39570566;-71.8716;22.36261856;0.03327504;0.000116711;1.47E+01;1.86E+02;2.23E-02;6.97E+01
0.0013;1316.96;9.095313267;-77.8606;24.22607676;0.036047983;0.000126447;1.54E+01;1.86E+02;2.56E-02;6.97E+01
0.0014;1418.27;9.794989937;-83.8495;26.08950385;0.038820927;0.000136184;1.65E+01;184.9960314;2.98E-02;6.93E+01
