Time [s],RF Mag [N],Sigma [MPa],RM2 [Nm],Tau [MPa],Actual angle [deg],Extension [-],Paper angle [deg],Paper Tau [MPa],Paper extension [-],Paper Sigma [MPa],S23 [Pa]
0.577985,34929.2,241.2313329,-380.142,118.279968,4.96E+00,6.61E-02,,,,,1.65E+08
0.582985,34757.3,240.0441409,-378.249,117.6909671,5.00E+00,6.66E-02,,,,,1.66E+08
0.587985,34578.7,238.8106768,-376.282,117.0789413,5.05E+00,6.71E-02,,,,,1.67E+08
0.592985,34393.5,237.5316311,-374.244,116.4448241,5.09E+00,6.76E-02,,,,,1.68E+08
0.597985,34201.7,236.2070038,-372.132,115.7876821,5.13E+00,6.81E-02,,,,,1.69E+08
0.602985,34003.1,234.8354138,-369.947,115.1078263,5.18E+00,6.86E-02,,,,,1.70E+08
0.607985,33797.8,233.4175516,-367.688,114.4049457,5.22E+00,6.91E-02,,,,,1.70E+08
0.612985,33585.7,231.9527266,-365.355,113.6790402,5.26E+00,6.96E-02,,,,,1.71E+08
0.617985,33366.8,230.4409388,-362.947,112.9297987,5.31E+00,7.01E-02,,,,,1.72E+08
0.622985,33140.9,228.8808069,-360.463,112.15691,5.35E+00,7.05E-02,,,,,1.73E+08
0.627985,32908.1,227.2730216,-357.904,111.3606854,5.39E+00,7.10E-02,,,,,1.74E+08
0.632985,32668.4,225.6175829,-355.267,110.5401912,5.43E+00,7.15E-02,,,,,1.75E+08
0.637985,32421.5,223.9124188,-352.554,109.69605,5.48E+00,7.20E-02,,,,,1.76E+08
0.642985,32167.6,222.1589107,-349.763,108.8276392,5.52E+00,7.24E-02,,,,,1.76E+08
0.647985,31906.5,220.3556773,-346.893,107.9346479,5.56E+00,7.29E-02,,,,,1.77E+08
0.652985,31638.1,218.5020279,-343.944,107.017076,5.61E+00,7.34E-02,,,,,1.78E+08
0.657985,31362.5,216.5986532,-340.915,106.0746123,5.65E+00,7.38E-02,,,,,1.79E+08
0.662985,31079.5,214.6441719,-337.805,105.1069458,5.69E+00,7.43E-02,,,,,1.79E+08
,,,,,,,,,,,1.80E+08
